client,round_number,computingTime,computingDemand,computingCap,computingtime
1,1,3.2308781426399946,368320108260.9594,100.0,3.6832010826095942
2,1,1.5956697072833776,181906346630.30505,100.0,1.8190634663030505
3,1,3.111927604302764,354759746890.5151,100.0,3.547597468905151
4,1,2.347856307402253,267655619043.85687,100.0,2.6765561904385686
5,1,1.5845562443137169,180639411851.76373,100.0,1.8063941185176373
6,1,1.458563294261694,166276215545.8331,100.0,1.662762155458331
7,1,3.1093506161123514,354465970236.80804,100.0,3.5446597023680804
8,1,1.4586222022771835,166282931059.59894,100.0,1.6628293105959895
9,1,1.4890929758548737,169756599247.4556,100.0,1.6975659924745559
10,1,0.959788989275694,109415944777.42912,100.0,1.0941594477742913
11,1,1.401203589513898,159737209204.58435,100.0,1.5973720920458434
12,1,1.1137696914374828,126969744823.87305,100.0,1.2696974482387304
13,1,2.344033820554614,267219855543.226,100.0,2.67219855543226
14,1,1.3154345247894526,149959535825.9976,100.0,1.499595358259976
15,1,1.497978858649731,170769589886.06934,100.0,1.7076958988606934
16,1,1.5047424249351025,171540636442.60168,100.0,1.715406364426017
17,1,2.180010668933392,248521216258.40668,100.0,2.485212162584067
18,1,0.932944856584072,106355713650.58421,100.0,1.063557136505842
19,1,1.9567106384783983,223065012786.5374,100.0,2.230650127865374
20,1,2.9190595019608736,332772783223.5396,100.0,3.327727832235396
21,1,2.273309936746955,259157332789.15286,100.0,2.5915733278915285
22,1,1.6982679422944784,193602545421.57053,100.0,1.9360254542157052
23,1,1.145793804898858,130620493758.46982,100.0,1.3062049375846982
24,1,1.5299749951809645,174417149450.62994,100.0,1.7441714945062994
25,1,0.9513097126036882,108449307236.82047,100.0,1.0844930723682047
26,1,1.4445424769073725,164677842367.44046,100.0,1.6467784236744045
27,1,1.5150695219635963,172717925503.84998,100.0,1.7271792550384997
28,1,1.4026046879589558,159896934427.32095,100.0,1.5989693442732096
29,1,1.5251445434987545,173866477958.858,100.0,1.7386647795885801
30,1,1.590489299967885,181315780196.3389,100.0,1.813157801963389
31,1,2.637192433699965,300639937441.796,100.0,3.0063993744179602
32,1,2.4134112633764744,275128884024.9181,100.0,2.751288840249181
33,1,1.5778756625950336,179877825535.83383,100.0,1.7987782553583382
34,1,2.3806117363274097,271389737941.3247,100.0,2.7138973794132473
35,1,2.608830077573657,297406628843.3969,100.0,2.9740662884339693
36,1,2.359275307506323,268957385055.7208,100.0,2.689573850557208
37,1,1.5760107710957527,179665227904.9158,100.0,1.796652279049158
38,1,1.4020044300705194,159828505028.0392,100.0,1.5982850502803922
39,1,1.5295941699296236,174373735371.97708,100.0,1.743737353719771
40,1,1.3211865816265345,150615270305.42493,100.0,1.5061527030542492
41,1,2.54673045873642,290327272295.9519,100.0,2.903272722959519
42,1,2.358779549598694,268900868654.2511,100.0,2.689008686542511
43,1,1.5087779685854912,172000688418.746,100.0,1.72000688418746
44,1,1.3052347768098116,148796764556.3185,100.0,1.4879676455631852
45,1,1.4878883268684149,169619269262.9993,100.0,1.696192692629993
46,1,3.1967194322496653,364426015276.46185,100.0,3.6442601527646183
47,1,1.5852163415402174,180714662935.58478,100.0,1.8071466293558478
48,1,2.299726916477084,262168868478.3876,100.0,2.621688684783876
49,1,1.5667888838797808,178613932762.295,100.0,1.78613932762295
50,1,2.529437525197864,288355877872.5565,100.0,2.883558778725565
51,1,1.4944443218410015,170366652689.87418,100.0,1.7036665268987417
52,1,1.5254084821790457,173896566968.4112,100.0,1.738965669684112
53,1,3.134741147980094,357360490869.7307,100.0,3.573604908697307
54,1,1.4065038207918406,160341435570.26984,100.0,1.6034143557026983
55,1,3.062961706891656,349177634585.6488,100.0,3.491776345856488
56,1,1.4747942928224802,168126549381.76276,100.0,1.6812654938176275
57,1,1.4730254039168358,167924896046.5193,100.0,1.6792489604651928
58,1,1.293467564508319,147455302353.94836,100.0,1.4745530235394837
59,1,2.0250423271209,230854825291.78262,100.0,2.3085482529178263
60,1,1.355193618685007,154492072530.09082,100.0,1.5449207253009083
61,1,1.4669323116540909,167230283528.56635,100.0,1.6723028352856635
62,1,2.016835344955325,229919229324.90707,100.0,2.299192293249071
63,1,1.292650757357478,147362186338.75247,100.0,1.4736218633875247
64,1,1.5444549061357975,176067859299.48093,100.0,1.7606785929948092
1,2,3.023512413725257,344680415164.67926,100.0,3.4468041516467927
2,2,1.538535624742508,175393061220.6459,100.0,1.753930612206459
3,2,2.960110828280449,337452634423.9712,100.0,3.3745263442397118
4,2,2.3131345752626657,263697341579.9439,100.0,2.636973415799439
5,2,1.5490019470453262,176586221963.16718,100.0,1.7658622196316718
6,2,1.4529687073081732,165638432633.13174,100.0,1.6563843263313174
7,2,3.125109052285552,356262431960.5529,100.0,3.562624319605529
8,2,1.473284289240837,167954408973.45544,100.0,1.6795440897345544
9,2,1.462839586660266,166763712879.27032,100.0,1.6676371287927032
10,2,0.9209916964173316,104993053391.5758,100.0,1.049930533915758
11,2,1.343043426051736,153106950569.89792,100.0,1.5310695056989791
12,2,1.09308572858572,124611773058.7721,100.0,1.246117730587721
13,2,2.2685875464230776,258618980292.23083,100.0,2.5861898029223083
14,2,1.2716633696109056,144969624135.64325,100.0,1.4496962413564325
15,2,1.4452939610928297,164763511564.58258,100.0,1.6476351156458258
16,2,1.4420940410345793,164398720677.94205,100.0,1.6439872067794206
17,2,2.110352203249932,240580151170.49222,100.0,2.4058015117049223
18,2,0.9178805164992808,104638378880.91801,100.0,1.04638378880918
19,2,1.9256298709660769,219521805290.13275,100.0,2.1952180529013274
20,2,2.8096388522535563,320298829156.9054,100.0,3.2029882915690537
21,2,2.186462849378586,249256764829.15878,100.0,2.4925676482915877
22,2,1.605425387620926,183018494188.78555,100.0,1.8301849418878555
23,2,1.091593258082867,124441631421.44682,100.0,1.2444163142144682
24,2,1.4622556548565626,166697144653.64813,100.0,1.6669714465364813
25,2,0.9237381834536792,105306152913.71942,100.0,1.0530615291371943
26,2,1.379662025719881,157281470932.06644,100.0,1.5728147093206644
27,2,1.4454930741339922,164786210451.27512,100.0,1.647862104512751
28,2,1.3585691284388304,154876880642.02667,100.0,1.5487688064202667
29,2,1.4700547233223915,167586238458.75262,100.0,1.6758623845875262
30,2,1.5401346888393164,175575354527.68207,100.0,1.7557535452768207
31,2,2.5443067848682404,290050973474.9794,100.0,2.900509734749794
32,2,2.362781155854464,269357051767.4089,100.0,2.693570517674089
33,2,1.5451533123850822,176147477611.89938,100.0,1.761474776118994
34,2,2.300670770928264,262276467885.8221,100.0,2.6227646788582213
35,2,2.5390266161412,289449034240.0968,100.0,2.894490342400968
36,2,2.29586891643703,261729056473.8214,100.0,2.617290564738214
37,2,1.5318275932222605,174628345627.3377,100.0,1.746283456273377
38,2,1.3619598634541037,155263424433.76782,100.0,1.5526342443376782
39,2,1.4802648089826107,168750188224.0176,100.0,1.6875018822401762
40,2,1.2697442639619112,144750846091.65787,100.0,1.4475084609165787
41,2,2.433887204155326,277463141273.70715,100.0,2.7746314127370715
42,2,2.2771698348224163,259597361169.75546,100.0,2.5959736116975547
43,2,1.4449705630540848,164726644188.16565,100.0,1.6472664418816565
44,2,1.2674271799623966,144486698515.71323,100.0,1.4448669851571323
45,2,1.453938763588667,165749019049.10803,100.0,1.6574901904910804
46,2,3.1004439555108547,353450610928.2374,100.0,3.534506109282374
47,2,1.5457510612905023,176215620987.11728,100.0,1.7621562098711727
48,2,2.285152612254024,260507397796.95874,100.0,2.6050739779695875
49,2,1.561811467632651,178046507310.12222,100.0,1.7804650731012222
50,2,2.543124530464411,289916196472.9428,100.0,2.899161964729428
51,2,1.4853591192513704,169330939594.65622,100.0,1.6933093959465622
52,2,1.5367789845913649,175192804243.4156,100.0,1.751928042434156
53,2,3.109222324565053,354451345000.416,100.0,3.54451345000416
54,2,1.439537836238742,164107313331.2166,100.0,1.6410731333121662
55,2,3.140454571694136,358011821173.13153,100.0,3.5801182117313153
56,2,1.4794813208281994,168660870574.41473,100.0,1.6866087057441472
57,2,1.497929573059082,170763971328.73535,100.0,1.7076397132873535
58,2,1.3392811994999647,152678056742.99597,100.0,1.5267805674299597
59,2,2.0561266001313925,234398432414.97873,100.0,2.3439843241497873
60,2,1.3548380974680183,154451543111.3541,100.0,1.544515431113541
61,2,1.4490751437842846,165194566391.40845,100.0,1.6519456639140844
62,2,1.981000376865268,225834042962.64056,100.0,2.2583404296264056
63,2,1.2807111982256174,146001076597.7204,100.0,1.460010765977204
64,2,1.5499849542975426,176698284789.91986,100.0,1.7669828478991987
1,3,3.038699857890606,346411783799.52905,100.0,3.4641178379952904
2,3,1.538049852475524,175337683182.20972,100.0,1.7533768318220972
3,3,2.929004611447453,333906525705.00964,100.0,3.3390652570500965
4,3,2.2976295948028564,261929773807.52563,100.0,2.6192977380752565
5,3,1.5449571181088686,176125111464.411,100.0,1.76125111464411
6,3,1.451465955004096,165467118870.46695,100.0,1.6546711887046694
7,3,3.099916271865368,353390454992.6519,100.0,3.533904549926519
8,3,1.4359248578548431,163695433795.45212,100.0,1.6369543379545213
9,3,1.4627146776765585,166749473255.12766,100.0,1.6674947325512766
10,3,0.9156205859035254,104380746793.00189,100.0,1.0438074679300189
11,3,1.3700119853019714,156181366324.42474,100.0,1.5618136632442474
12,3,1.091915687546134,124478388380.25928,100.0,1.2447838838025929
13,3,2.2850078009068966,260490889303.3862,100.0,2.604908893033862
14,3,1.2791215274482963,145819854129.10577,100.0,1.4581985412910576
15,3,1.4619460441172123,166661849029.3622,100.0,1.666618490293622
16,3,1.4416784923523664,164351348128.16977,100.0,1.6435134812816976
17,3,2.0860246792435646,237806813433.76636,100.0,2.3780681343376635
18,3,0.9188248421996832,104746032010.76389,100.0,1.047460320107639
19,3,1.9456838741898537,221807961657.6433,100.0,2.218079616576433
20,3,2.84430998750031,324251338575.03534,100.0,3.242513385750353
21,3,2.201292108744383,250947300396.85965,100.0,2.5094730039685964
22,3,1.6395984590053558,186914224326.61057,100.0,1.8691422432661056
23,3,1.1125492956489325,126830619703.9783,100.0,1.268306197039783
24,3,1.499038890004158,170890433460.474,100.0,1.70890433460474
25,3,0.937170311808586,106837415546.1788,100.0,1.068374155461788
26,3,1.39165829308331,158649045411.4973,100.0,1.5864904541149731
27,3,1.461205154657364,166577387630.93948,100.0,1.6657738763093948
28,3,1.3711161110550163,156307236660.27185,100.0,1.5630723666027184
29,3,1.482066974043846,168955635040.99844,100.0,1.6895563504099844
30,3,1.5473900008946655,176402460101.99185,100.0,1.7640246010199185
31,3,2.5485015623271465,290529178105.2947,100.0,2.905291781052947
32,3,2.359157115221024,268943911135.19675,100.0,2.6894391113519673
33,3,1.5407384149730206,175644179306.92435,100.0,1.7564417930692435
34,3,2.3091318421065807,263241030000.1502,100.0,2.632410300001502
35,3,2.5827253498137,294430689878.76184,100.0,2.944306898787618
36,3,2.302872071042657,262527416098.86288,100.0,2.6252741609886288
37,3,1.5431826580315828,175922823015.60043,100.0,1.7592282301560043
38,3,1.3728713113814592,156507329497.48636,100.0,1.5650732949748636
39,3,1.4770475961267948,168383425958.45462,100.0,1.6838342595845461
40,3,1.264782465994358,144185201123.3568,100.0,1.4418520112335682
41,3,2.4653627891093493,281051357958.4658,100.0,2.8105135795846583
42,3,2.284108530730009,260388372503.22104,100.0,2.6038837250322104
43,3,1.442127523943782,164402537729.59116,100.0,1.6440253772959115
44,3,1.2685441840440037,144614036981.01642,100.0,1.4461403698101643
45,3,1.456976579502225,166095330063.25363,100.0,1.6609533006325363
46,3,3.123343478888273,356061156593.2631,100.0,3.560611565932631
47,3,1.5414784792810678,175728546638.04175,100.0,1.7572854663804174
48,3,2.1980143692344427,250573638092.72647,100.0,2.5057363809272646
49,3,1.5368496216833591,175200856871.90295,100.0,1.7520085687190294
50,3,2.46388846449554,280883284952.4916,100.0,2.808832849524916
51,3,1.4449996389448645,164729958839.71454,100.0,1.6472995883971453
52,3,1.481008592993021,168834979601.2044,100.0,1.6883497960120442
53,3,3.0127261765301228,343450784124.434,100.0,3.4345078412443404
54,3,1.392568375915289,158752794854.34293,100.0,1.5875279485434293
55,3,3.012759296223521,343454559769.4814,100.0,3.434545597694814
56,3,1.4439131133258345,164606094919.14514,100.0,1.6460609491914515
57,3,1.4505969565361738,165368053045.1238,100.0,1.653680530451238
58,3,1.3029133342206478,148532120101.15384,100.0,1.4853212010115384
59,3,1.9897690396755932,226833670523.0176,100.0,2.268336705230176
60,3,1.3592602610588074,154955669760.70404,100.0,1.5495566976070405
61,3,1.444840120151639,164711773697.28683,100.0,1.6471177369728685
62,3,2.008839936926961,229007752809.67355,100.0,2.2900775280967354
63,3,1.283825881779194,146356150522.82812,100.0,1.4635615052282813
64,3,1.5435399301350117,175963552035.39133,100.0,1.7596355203539134
1,4,3.0157219730317597,343792304925.6206,100.0,3.437923049256206
2,4,1.537318792194128,175254342310.13058,100.0,1.752543423101306
3,4,2.930887818336487,334121211290.3595,100.0,3.341212112903595
4,4,2.2816875111311674,260112376268.9531,100.0,2.601123762689531
