client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,agg_time_s
f1763_25,1,,157,train,26414840,26414840,1848422100,0.6220406379998167,37.88793088899911,38.509971526998925,1.273831414999222
f0365_07,1,,285,train,26414840,26414840,3300753750,0.9607688819996838,38.51598523999928,39.476754121998965,1.273831414999222
f0610_38,1,,278,train,26414840,26414840,3300753750,0.9354520670003694,39.48258746600004,40.41803953300041,1.273831414999222
f1851_06,1,,136,train,26414840,26414840,1584361800,0.46943091100001766,40.423729185999036,40.893160096999054,1.273831414999222
f3841_01,1,,178,train,26414840,26414840,2112482400,0.5969461469994712,40.89933159800057,41.49627774500004,1.273831414999222
f3758_19,1,,176,train,26414840,26414840,1980452250,0.5941003199986881,41.50242554400029,42.09652586399898,1.273831414999222
f0166_12,1,,311,train,26414840,26414840,3564814050,1.044570650001333,42.10277399599909,43.14734464600042,1.273831414999222
f3230_21,1,,183,train,26414840,26414840,2112482400,0.6208232780008984,43.1532180159993,43.7740412940002,1.273831414999222
f1121_47,1,,238,train,26414840,26414840,2772633150,0.8022094450006989,43.77999289699983,44.58220234200053,1.273831414999222
f1472_37,1,,387,train,26414840,26414840,4489025100,1.2955255119995854,44.58819271500033,45.88371822699992,1.273831414999222
f0114_20,1,,302,train,26414840,26414840,3564814050,1.0139187869990565,45.889646608000476,46.90356539499953,1.273831414999222
f2160_96,1,,176,train,26414840,26414840,1980452250,0.5931583820001833,46.90948172499884,47.502640106999024,1.273831414999222
f3904_45,1,,153,train,26414840,26414840,1716391950,0.519606225001553,47.50854364499901,48.02814987000056,1.273831414999222
f2499_74,1,,160,train,26414840,26414840,1848422100,0.5444366720003018,48.033922448999874,48.578359121000176,1.273831414999222
f3721_04,1,,179,train,26414840,26414840,2112482400,0.6095260299989604,48.58415119500023,49.19367722499919,1.273831414999222
f3465_24,1,,165,train,26414840,26414840,1848422100,0.5544142590006231,49.19951441299963,49.75392867200026,1.273831414999222
f2346_88,1,,169,train,26414840,26414840,1980452250,0.5759425109990843,49.75996433100045,50.33590684199953,1.273831414999222
f2042_30,1,,166,train,26414840,26414840,1848422100,0.5587235580005654,50.34186052299992,50.90058408100049,1.273831414999222
f1512_39,1,,140,train,26414840,26414840,1584361800,0.4768617030003952,50.906427350999365,51.38328905399976,1.273831414999222
f3547_04,1,,170,train,26414840,26414840,1980452250,0.5808385950003867,51.38932619799925,51.97016479299964,1.273831414999222
f1425_23,1,,372,train,26414840,26414840,4356994950,1.2466059910002514,51.976082909999604,53.222688900999856,1.273831414999222
f1026_41,1,,205,train,26414840,26414840,2376542700,0.6952456200015149,53.22865315299896,53.923898773000474,1.273831414999222
f0703_11,1,,302,train,26414840,26414840,3564814050,1.014480662999631,53.929630471000564,54.944111134000195,1.273831414999222
f3368_37,1,,175,train,26414840,26414840,1980452250,0.5924847770002089,54.9502963599989,55.54278113699911,1.273831414999222
f0110_48,1,,413,train,26414840,26414840,4885115550,1.3939343309994001,55.54867166599979,56.94260599699919,1.273831414999222
f1314_29,1,,302,train,26414840,26414840,3564814050,1.0158838349998405,56.94849452299968,57.96437835799952,1.273831414999222
f1651_06,1,,180,train,26414840,26414840,2112482400,0.6110307700000703,57.97027114199955,58.58130191199962,1.273831414999222
f3928_39,1,,170,train,26414840,26414840,1980452250,0.5813814829998591,58.587166253999385,59.168547736999244,1.273831414999222
f0850_30,1,,329,train,26414840,26414840,3828874350,1.1057927349993406,59.17474300399954,60.28053573899888,1.273831414999222
f1642_04,1,,153,train,26414840,26414840,1716391950,0.5181507190009143,60.286437389999264,60.80458810900018,1.273831414999222
f2126_57,1,,158,train,26414840,26414840,1848422100,0.535908121999455,60.81060283700026,61.346510958999716,1.273831414999222
f1165_30,1,,180,train,26414840,26414840,2112482400,0.6129263820002961,61.35230672800026,61.965233110000554,1.273831414999222
f0547_28,1,,416,train,26414840,26414840,4885115550,1.3966781220005942,61.9710391489989,63.36771727099949,1.273831414999222
f1120_05,1,,401,train,26414840,26414840,4753085400,1.3357749189999595,63.373534980999466,64.70930989999943,1.273831414999222
f3791_09,1,,163,train,26414840,26414840,1848422100,0.550145295999755,64.71545160300047,65.26559689900023,1.273831414999222
f3632_10,1,,149,train,26414840,26414840,1716391950,0.5071951229983824,65.27167111900053,65.77886624199891,1.273831414999222
f0203_21,1,,427,train,26414840,26414840,5017145700,1.4348026240004401,65.78482740599975,67.21963003000019,1.273831414999222
f0812_32,1,,380,train,26414840,26414840,4489025100,1.278577906999999,67.22558689700054,68.50416480400054,1.273831414999222
f1793_33,1,,130,train,26414840,26414840,1452331650,0.4447535879990028,68.5099219370004,68.9546755249994,1.273831414999222
f2482_62,1,,171,train,26414840,26414840,1980452250,0.580448492000869,68.9608058599988,69.54125435199967,1.273831414999222
f1527_46,1,,179,train,26414840,26414840,2112482400,0.6099533349988633,69.54703732300004,70.1569906579989,1.273831414999222
f1018_07,1,,145,train,26414840,26414840,1716391950,0.4876460590003262,70.16286788199977,70.6505139410001,1.273831414999222
f0461_47,1,,347,train,26414840,26414840,4092934650,1.1695001339994633,70.65641185300046,71.82591198699993,1.273831414999222
f0579_26,1,,167,train,26414840,26414840,1980452250,0.5626353429997835,71.83157192500039,72.39420726800017,1.273831414999222
f1835_27,1,,122,train,26414840,26414840,1320301500,0.41136408199963626,72.40014009399965,72.81150417599929,1.273831414999222
f1045_35,1,,161,train,26414840,26414840,1848422100,0.5447129420008423,72.81734751899967,73.36206046100051,1.273831414999222
