client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f1763_25,1,,157,train,26414840,26414840,7393688400,2.190321720998327,37.18863777100341,39.37895949200174,249696676193.80927,100.0,100.0,2.496966761938092,2.496966761938092
f0365_07,1,,285,train,26414840,26414840,13203015000,3.9661811869955272,39.3845786400052,43.35075982700073,452144655317.4901,100.0,100.0,4.521446553174901,4.521446553174901
f0610_38,1,,278,train,26414840,26414840,13203015000,3.7893682259964407,43.35702879100427,47.14639701700071,431987977763.59424,100.0,100.0,4.319879777635942,4.319879777635942
f1851_06,1,,136,train,26414840,26414840,6337447200,1.876953434002644,47.15223278300255,49.02918621700519,213972691476.3014,100.0,100.0,2.139726914763014,2.139726914763014
f3841_01,1,,178,train,26414840,26414840,8449929600,2.378625004996138,49.03540800200426,51.4140330070004,271163250569.55975,100.0,100.0,2.711632505695597,2.711632505695597
f3758_19,1,,176,train,26414840,26414840,7921809000,2.345105529995635,51.41972188200453,53.76482741200016,267342030419.5024,100.0,100.0,2.673420304195024,2.673420304195024
f0166_12,1,,311,train,26414840,26414840,14259256200,4.130786149005871,53.77042796000024,57.901214109006105,470909620986.6693,100.0,100.0,4.709096209866693,4.709096209866693
f3230_21,1,,183,train,26414840,26414840,8449929600,2.4511680159994285,57.90713184500055,60.35829986099998,279433153823.9348,100.0,100.0,2.7943315382393483,2.7943315382393483
f1121_47,1,,238,train,26414840,26414840,11090532600,3.190821171003336,60.36405513500358,63.55487630600692,363753613494.3803,100.0,100.0,3.6375361349438027,3.6375361349438027
f1472_37,1,,387,train,26414840,26414840,17956100400,5.137035361003655,63.56061376100115,68.6976491220048,585622031154.4167,100.0,100.0,5.856220311544167,5.856220311544167
f0114_20,1,,302,train,26414840,26414840,14259256200,4.028746685995429,68.70339620000595,72.73214288600138,459277122203.47894,100.0,100.0,4.592771222034789,4.592771222034789
f2160_96,1,,176,train,26414840,26414840,7921809000,2.33708667299652,72.73790986300446,75.07499653600098,266427880721.6033,100.0,100.0,2.6642788072160326,2.6642788072160326
f3904_45,1,,153,train,26414840,26414840,6865567800,2.0472373019947554,75.08076527800586,77.12800258000061,233385052427.40213,100.0,100.0,2.333850524274021,2.333850524274021
f2499_74,1,,160,train,26414840,26414840,7393688400,2.1471485489964834,77.13368407600501,79.2808326250015,244774934585.59912,100.0,100.0,2.447749345855991,2.447749345855991
f3721_04,1,,179,train,26414840,26414840,8449929600,2.4029038149965345,79.28651507600443,81.68941889100097,273931034909.60492,100.0,100.0,2.739310349096049,2.739310349096049
f3465_24,1,,165,train,26414840,26414840,7393688400,2.188768612999411,81.69514734700351,83.88391596000292,249519621881.93283,100.0,100.0,2.495196218819328,2.495196218819328
f2346_88,1,,169,train,26414840,26414840,7921809000,2.2733176600013394,83.88953792500251,86.16285558500385,259158213240.15268,100.0,100.0,2.5915821324015265,2.5915821324015265
f2042_30,1,,166,train,26414840,26414840,7393688400,2.2096378759961226,86.16867419900518,88.3783120750013,251898717863.55798,100.0,100.0,2.5189871786355797,2.5189871786355797
f1512_39,1,,140,train,26414840,26414840,6337447200,1.8820841439955984,88.38419936500577,90.26628350900135,214557592415.49823,100.0,100.0,2.145575924154982,2.145575924154982
f3547_04,1,,170,train,26414840,26414840,7921809000,2.28794967399881,90.27214652600378,92.5600962000026,260826262835.86432,100.0,100.0,2.608262628358643,2.608262628358643
f1425_23,1,,372,train,26414840,26414840,17427979800,4.94538926200039,92.56585925900436,97.51124852100476,563774375868.0444,100.0,100.0,5.637743758680444,5.637743758680444
f1026_41,1,,205,train,26414840,26414840,9506170800,2.738074973000039,97.51706862800349,100.25514360100352,312140546922.00446,100.0,100.0,3.121405469220044,3.121405469220044
f0703_11,1,,302,train,26414840,26414840,14259256200,4.335244875001081,100.26087029100016,104.59611516600124,494217915750.1232,100.0,100.0,4.942179157501232,4.942179157501232
f3368_37,1,,175,train,26414840,26414840,7921809000,2.342185576002521,104.60284133400272,106.94502691000524,267009155664.28738,100.0,100.0,2.670091556642874,2.670091556642874
f0110_48,1,,413,train,26414840,26414840,19540462200,5.5007930919964565,106.95064775400532,112.4514408460018,627090412487.5961,100.0,100.0,6.27090412487596,6.27090412487596
f1314_29,1,,302,train,26414840,26414840,14259256200,4.025216811001883,112.45711305800069,116.48232986900256,458874716454.21466,100.0,100.0,4.588747164542146,4.588747164542146
f1651_06,1,,180,train,26414840,26414840,8449929600,2.418976482993457,116.48805595300657,118.907032436,275763319061.2541,100.0,100.0,2.7576331906125406,2.7576331906125406
f3928_39,1,,170,train,26414840,26414840,7921809000,2.2884884259983664,118.91286843100534,121.2013568570037,260887680563.81378,100.0,100.0,2.6088768056381375,2.6088768056381375
f0850_30,1,,329,train,26414840,26414840,15315497400,4.390121716998692,121.20706444100506,125.59718615800377,500473875737.8509,100.0,100.0,5.004738757378509,5.004738757378509
f1642_04,1,,153,train,26414840,26414840,6865567800,2.0429168799964827,125.60283455800528,127.64575143800177,232892524319.59903,100.0,100.0,2.32892524319599,2.32892524319599
f2126_57,1,,158,train,26414840,26414840,7393688400,2.1233743709963164,127.65135538900358,129.7747297599999,242064678293.58008,100.0,100.0,2.4206467829358007,2.4206467829358007
f1165_30,1,,180,train,26414840,26414840,8449929600,2.427677375999337,129.7803419680058,132.20801934400515,276755220863.92444,100.0,100.0,2.767552208639244,2.767552208639244
f0547_28,1,,416,train,26414840,26414840,19540462200,5.649054353998508,132.2136357210038,137.86269007500232,643992196355.83,100.0,64.0,6.439921963558299,10.062378068059843
