client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,time
f3547_04,1,,170,train,26414840,26414840,7921809000,2.28794967399881,90.27214652600378,92.56009620000259,2.28794967399881
f1425_23,1,,372,train,26414840,26414840,17427979800,4.94538926200039,92.56585925900437,97.51124852100477,4.94538926200039
f1026_41,1,,205,train,26414840,26414840,9506170800,2.738074973000039,97.51706862800349,100.25514360100351,2.738074973000039
f0703_11,1,,302,train,26414840,26414840,14259256200,4.335244875001081,100.26087029100016,104.59611516600124,4.335244875001081
f3368_37,1,,175,train,26414840,26414840,7921809000,2.342185576002521,104.60284133400272,106.94502691000523,2.342185576002521
f0110_48,1,,413,train,26414840,26414840,19540462200,5.5007930919964565,106.95064775400532,112.4514408460018,5.5007930919964565
f1314_29,1,,302,train,26414840,26414840,14259256200,4.025216811001883,112.45711305800067,116.48232986900257,4.025216811001883
f1651_06,1,,180,train,26414840,26414840,8449929600,2.418976482993457,116.48805595300655,118.90703243600001,2.418976482993457
f3928_39,1,,170,train,26414840,26414840,7921809000,2.2884884259983664,118.91286843100535,121.2013568570037,2.2884884259983664
f0850_30,1,,329,train,26414840,26414840,15315497400,4.390121716998692,121.20706444100506,125.59718615800377,4.390121716998692
f1642_04,1,,153,train,26414840,26414840,6865567800,2.0429168799964827,125.60283455800527,127.64575143800177,2.0429168799964827
f2126_57,1,,158,train,26414840,26414840,7393688400,2.1233743709963164,127.65135538900358,129.7747297599999,2.1233743709963164
f1165_30,1,,180,train,26414840,26414840,8449929600,2.427677375999337,129.78034196800579,132.20801934400515,2.427677375999337
f0547_28,1,,416,train,26414840,26414840,19540462200,5.649054353998507,132.2136357210038,137.86269007500232,5.649054353998507
f1120_05,1,,401,train,26414840,26414840,19012341600,5.3161481599963745,137.86837548300537,143.18452364300174,5.3161481599963745
f3791_09,1,,163,train,26414840,26414840,7393688400,2.177709230003529,143.19013640200137,145.3678456320049,2.177709230003529
f3632_10,1,,149,train,26414840,26414840,6865567800,2.0053802449983777,145.37353438100402,147.37891462600237,2.0053802449983777
f0203_21,1,,427,train,26414840,26414840,20068582800,5.689267039997502,147.38466028000403,153.07392732000153,5.689267039997502
f0812_32,1,,380,train,26414840,26414840,17956100400,5.075413188998937,153.0795660550066,158.15497924400552,5.075413188998937
f1793_33,1,,130,train,26414840,26414840,5809326600,1.7485812589948182,158.16064789700613,159.90922915600098,1.7485812589948182
f2482_62,1,,171,train,26414840,26414840,7921809000,2.2849055900005624,159.91496368100343,162.19986927100402,2.2849055900005624
f1527_46,1,,179,train,26414840,26414840,8449929600,2.4069118640036318,162.20571485999972,164.61262672400338,2.4069118640036318
f1018_07,1,,145,train,26414840,26414840,6865567800,1.9459630120036309,164.61822230899998,166.56418532100358,1.9459630120036309
f0461_47,1,,347,train,26414840,26414840,16371738600,4.715904265001882,166.56995862199983,171.28586288700168,4.715904265001882
f0579_26,1,,167,train,26414840,26414840,7921809000,2.2178894800017592,171.2916714560051,173.5095609360069,2.2178894800017592
f1835_27,1,,122,train,26414840,26414840,5281206000,1.6170013380033197,173.515301984,175.13230332200328,1.6170013380033197
f1045_35,1,,161,train,26414840,26414840,7393688400,2.150345287998789,175.1380926280035,177.28843791600232,2.150345287998789
f2415_79,1,,158,train,26414840,26414840,7393688400,2.1284513179998608,177.2942987640054,179.42275008200522,2.1284513179998608
f2139_75,1,,142,train,26414840,26414840,6337447200,1.8990413880019328,179.4284332180032,181.32747460600518,1.8990413880019328
f0373_35,1,,384,train,26414840,26414840,17956100400,5.113768703005917,181.33327181200002,186.44704051500594,5.113768703005917
f3242_19,1,,158,train,26414840,26414840,7393688400,2.1222926049958915,186.45277265600453,188.57506526100042,2.1222926049958915
f3138_46,1,,178,train,26414840,26414840,8449929600,2.3666551300048013,188.5808225410001,190.94747767100492,2.3666551300048013
f3633_29,1,,177,train,26414840,26414840,7921809000,2.355520381999668,190.9530712830019,193.30859166500161,2.355520381999668
f0322_19,1,,246,train,26414840,26414840,11618653200,3.2925331959995674,193.31415764700068,196.60669084300025,3.2925331959995674
f0957_15,1,,335,train,26414840,26414840,15843618000,4.572006843998679,196.61250157600446,201.18450842000308,4.572006843998679
f3668_33,1,,181,train,26414840,26414840,8449929600,2.427989278003224,201.19102248200215,203.61901176000538,2.427989278003224
f2420_84,1,,178,train,26414840,26414840,8449929600,2.365219391998835,203.62474901400128,205.9899684060001,2.365219391998835
f0732_46,1,,249,train,26414840,26414840,11618653200,3.330370938005217,205.99571787400055,209.32608881200576,3.330370938005217
f2120_61,1,,149,train,26414840,26414840,6865567800,2.0021956660057185,209.33184223900025,211.334037905006,2.0021956660057185
f0406_00,1,,296,train,26414840,26414840,13731135600,3.9448768369984464,211.33968656200162,215.284563399,3.9448768369984464
f3749_27,1,,134,train,26414840,26414840,6337447200,1.7752398520024144,215.29028676600134,217.06552661800382,1.7752398520024144
f1566_38,1,,169,train,26414840,26414840,7921809000,2.272418420005124,217.07129651099967,219.34371493100483,2.272418420005124
f2532_93,1,,183,train,26414840,26414840,8449929600,2.4449574999962347,219.3492813930061,221.79423889300236,2.4449574999962347
f3414_29,1,,173,train,26414840,26414840,7921809000,2.3115496569953398,221.7998931680049,224.11144282500027,2.3115496569953398
f1693_00,1,,166,train,26414840,26414840,7393688400,2.2051769300014707,224.1172868180001,226.32246374800158,2.2051769300014707
f1763_25,2,,157,train,26414840,26414840,7393688400,2.1094661710012588,227.75179934200423,229.8612655130055,2.1094661710012588
f0365_07,2,,285,train,26414840,26414840,13203015000,3.866872359001718,229.8746714260051,233.74154378500683,3.866872359001718
f0610_38,2,,278,train,26414840,26414840,13203015000,3.7212175280001247,233.7551060620026,237.47632359000272,3.7212175280001247
f1851_06,2,,136,train,26414840,26414840,6337447200,1.8281464559986493,237.48620533600484,239.31435179200344,1.8281464559986493
f3841_01,2,,178,train,26414840,26414840,8449929600,2.3651753500016643,239.32697964399998,241.69215499400158,2.3651753500016643
f3758_19,2,,176,train,26414840,26414840,7921809000,2.337416751004639,241.70493734400227,244.04235409500686,2.337416751004639
f0166_12,2,,311,train,26414840,26414840,14259256200,4.125398222000513,244.0551206490054,248.1805188710059,4.125398222000513
f3230_21,2,,183,train,26414840,26414840,8449929600,2.4432848799988283,248.190525678001,250.63381055799985,2.4432848799988283
f1121_47,2,,238,train,26414840,26414840,11090532600,3.1824924559987267,250.64659847200528,253.829090928004,3.1824924559987267
f1472_37,2,,387,train,26414840,26414840,17956100400,5.141893831001653,253.8419499470037,258.9838437780054,5.141893831001653
f0114_20,2,,302,train,26414840,26414840,14259256200,4.0351233399997,258.9965513060015,263.0316746460012,4.0351233399997
f2160_96,2,,176,train,26414840,26414840,7921809000,2.3928658869990613,263.0428218650049,265.435687752004,2.3928658869990613
f3904_45,2,,153,train,26414840,26414840,6865567800,2.081276649994834,265.4483291570068,267.5296058070016,2.081276649994834
f2499_74,2,,160,train,26414840,26414840,7393688400,2.149674041000253,267.5424026010005,269.6920766420008,2.149674041000253
f3721_04,2,,179,train,26414840,26414840,8449929600,2.400992579998274,269.70487590400444,272.1058684840027,2.400992579998274
f3465_24,2,,165,train,26414840,26414840,7393688400,2.189103757002158,272.1158901960007,274.30499395300285,2.189103757002158
f2346_88,2,,169,train,26414840,26414840,7921809000,2.269433174995356,274.31787043300574,276.5873036080011,2.269433174995356
f2042_30,2,,166,train,26414840,26414840,7393688400,2.2035278149996884,276.6001290480053,278.803656863005,2.2035278149996884
f1512_39,2,,140,train,26414840,26414840,6337447200,1.8798737519973656,278.81634871100687,280.6962224630043,1.8798737519973656
f3547_04,2,,170,train,26414840,26414840,7921809000,2.2853016810040567,280.70640245600225,282.9917041370063,2.2853016810040567
f1425_23,2,,372,train,26414840,26414840,17427979800,4.948520380996341,283.0044436170065,287.9529639980028,4.948520380996341
f1026_41,2,,205,train,26414840,26414840,9506170800,2.740664293000009,287.9655915510011,290.7062558440012,2.740664293000009
f0703_11,2,,302,train,26414840,26414840,14259256200,4.031793514004677,290.7189229930009,294.7507165070056,4.031793514004677
f3368_37,2,,175,train,26414840,26414840,7921809000,2.406207152998832,294.7606807590055,297.1668879120043,2.406207152998832
f0110_48,2,,413,train,26414840,26414840,19540462200,5.5314329199973145,297.17979501100484,302.7112279310022,5.5314329199973145
f1314_29,2,,302,train,26414840,26414840,14259256200,4.026174762002484,302.72386101300066,306.7500357750032,4.026174762002484
f1651_06,2,,180,train,26414840,26414840,8449929600,2.41810328700376,306.76282430900034,309.18092759600404,2.41810328700376
f3928_39,2,,170,train,26414840,26414840,7921809000,2.286392034999153,309.19104213000537,311.4774341650045,2.286392034999153
f0850_30,2,,329,train,26414840,26414840,15315497400,4.383814610002446,311.4902614370003,315.87407604700275,4.383814610002446
f1642_04,2,,153,train,26414840,26414840,6865567800,2.0399658099995577,315.88671944500675,317.9266852550063,2.0399658099995577
f2126_57,2,,158,train,26414840,26414840,7393688400,2.121635816001799,317.93950829700043,320.06114411300223,2.121635816001799
f1165_30,2,,180,train,26414840,26414840,8449929600,2.4191121840049163,320.07398587300116,322.49309805700614,2.4191121840049163
f0547_28,2,,416,train,26414840,26414840,19540462200,5.550563655000588,322.5057824100004,328.056346065001,5.550563655000588
f1120_05,2,,401,train,26414840,26414840,19012341600,5.425449886999558,328.06969940800633,333.4951492950058,5.425449886999558
f3791_09,2,,163,train,26414840,26414840,7393688400,2.1732860170013737,333.50529934000224,335.6785853570036,2.1732860170013737
f3632_10,2,,149,train,26414840,26414840,6865567800,1.9988627380007529,335.6913187970058,337.69018153500656,1.9988627380007529
f0203_21,2,,427,train,26414840,26414840,20068582800,5.688456354997469,337.7028446780023,343.39130103299976,5.688456354997469
f0812_32,2,,380,train,26414840,26414840,17956100400,5.1518839159980425,343.40500045400404,348.55688437000214,5.1518839159980425
f1793_33,2,,130,train,26414840,26414840,5809326600,1.7671235320012784,348.56839571200544,350.33551924400666,1.7671235320012784
f2482_62,2,,171,train,26414840,26414840,7921809000,2.290071574003377,350.347829311002,352.63790088500537,2.290071574003377
f1527_46,2,,179,train,26414840,26414840,8449929600,2.402860702000908,352.6508545420002,355.05371524400107,2.402860702000908
f1018_07,2,,145,train,26414840,26414840,6865567800,1.9198324390017658,355.06628790100507,356.9861203400069,1.9198324390017658
f0461_47,2,,347,train,26414840,26414840,16371738600,4.629527841003436,356.99668780800135,361.62621564900473,4.629527841003436
f0579_26,2,,167,train,26414840,26414840,7921809000,2.215834613998595,361.6388381070065,363.85467272100493,2.215834613998595
f1835_27,2,,122,train,26414840,26414840,5281206000,1.6139669490003143,363.8675174710006,365.4814844200008,1.6139669490003143
f1045_35,2,,161,train,26414840,26414840,7393688400,2.1497748020046856,365.4942673080004,367.6440421100051,2.1497748020046856
f2415_79,2,,158,train,26414840,26414840,7393688400,2.120935708997422,367.6541448800053,369.7750805890028,2.120935708997422
f2139_75,2,,142,train,26414840,26414840,6337447200,1.8925967360046343,369.7880922350014,371.680688971006,1.8925967360046343
f0373_35,2,,384,train,26414840,26414840,17956100400,5.11481454299792,371.6934783290053,376.80829287200316,5.11481454299792
f3242_19,2,,158,train,26414840,26414840,7393688400,2.1256128029999672,376.8212098110016,378.94682261400163,2.1256128029999672
f3138_46,2,,178,train,26414840,26414840,8449929600,2.3637033380000503,378.9578609030068,381.32156424100685,2.3637033380000503
f3633_29,2,,177,train,26414840,26414840,7921809000,2.3542952749994583,381.333677239003,383.6879725140025,2.3542952749994583
f0322_19,2,,246,train,26414840,26414840,11618653200,3.286869673000183,383.70107050600194,386.9879401790021,3.286869673000183
f0957_15,2,,335,train,26414840,26414840,15843618000,4.46830769799999,387.0008243490011,391.469132047001,4.46830769799999
f3668_33,2,,181,train,26414840,26414840,8449929600,2.4231504650015268,391.4798981960048,393.9030486610063,2.4231504650015268
f2420_84,2,,178,train,26414840,26414840,8449929600,2.3663694099959685,393.9160588120066,396.2824282220026,2.3663694099959685
f0732_46,2,,249,train,26414840,26414840,11618653200,3.3277418419966125,396.2948874960057,399.6226293380023,3.3277418419966125
f2120_61,2,,149,train,26414840,26414840,6865567800,2.071459416001744,399.63536294500227,401.706822361004,2.071459416001744
f0406_00,2,,296,train,26414840,26414840,13731135600,4.263493628001015,401.72030614800315,405.98379977600416,4.263493628001015
f3749_27,2,,134,train,26414840,26414840,6337447200,1.77358539999841,405.9964626890069,407.7700480890053,1.77358539999841
f1566_38,2,,169,train,26414840,26414840,7921809000,2.2687237190039014,407.7827065750025,410.05143029400637,2.2687237190039014
f2532_93,2,,183,train,26414840,26414840,8449929600,2.4424076979994425,410.06426938700315,412.5066770850026,2.4424076979994425
f3414_29,2,,173,train,26414840,26414840,7921809000,2.3103890569982473,412.5171647680036,414.8275538250018,2.3103890569982473
f1693_00,2,,166,train,26414840,26414840,7393688400,2.207620676002989,414.84034709900146,417.0479677750045,2.207620676002989
f1763_25,3,,157,train,26414840,26414840,7393688400,2.1081775830025435,418.5006302050024,420.6088077880048,2.1081775830025435
f0365_07,3,,285,train,26414840,26414840,13203015000,3.798386865004432,420.6187929680018,424.4171798330063,3.798386865004432
f0610_38,3,,278,train,26414840,26414840,13203015000,3.693141382005706,424.4271406010012,428.1202819830069,3.693141382005706
f1851_06,3,,136,train,26414840,26414840,6337447200,1.828556682994531,428.13026455400535,429.958821237,1.828556682994531
f3841_01,3,,178,train,26414840,26414840,8449929600,2.374230157001876,429.96671643300215,432.34094659000397,2.374230157001876
f3758_19,3,,176,train,26414840,26414840,7921809000,2.337432659995102,432.3508076890067,434.6882403490017,2.337432659995102
f0166_12,3,,311,train,26414840,26414840,14259256200,4.123626284999773,434.6983226810044,438.821948966004,4.123626284999773
f3230_21,3,,183,train,26414840,26414840,8449929600,2.440628801996354,438.8321832530055,441.27281205500185,2.440628801996354
f1121_47,3,,238,train,26414840,26414840,11090532600,3.1800198839991936,441.2806287730055,444.46064865700464,3.1800198839991936
f1472_37,3,,387,train,26414840,26414840,17956100400,5.213608454003406,444.47061933000083,449.68422778400424,5.213608454003406
f0114_20,3,,302,train,26414840,26414840,14259256200,4.061361511005089,449.69503477100085,453.7563962820058,4.061361511005089
f2160_96,3,,176,train,26414840,26414840,7921809000,2.3370437020057584,453.76632857100054,456.1033722730063,2.3370437020057584
f3904_45,3,,153,train,26414840,26414840,6865567800,2.0392952149995835,456.1112098890008,458.15050510400033,2.0392952149995835
f2499_74,3,,160,train,26414840,26414840,7393688400,2.14773382400017,458.160463815002,460.3081976390022,2.14773382400017
f3721_04,3,,179,train,26414840,26414840,8449929600,2.3998652519949246,460.3182469400053,462.71811219200026,2.3998652519949246
