client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end
f1008_28,1,,365,train,26414840,26414840,4224964800,0.7705126367509365,22.55862078629434,23.329133423045278
f3563_46,1,,180,train,26414840,26414840,2112482400,0.37743853218853474,23.343960039317608,23.721398571506143
f1182_38,1,,351,train,26414840,26414840,4092934650,0.7254000827670097,23.741873539984226,24.467273622751236
f1022_17,1,,275,train,26414840,26414840,3168723600,0.548007408156991,24.4803319927305,25.02833940088749
f2520_64,1,,179,train,26414840,26414840,2112482400,0.3717210665345192,25.047743124887347,25.419464191421866
f2483_64,1,,170,train,26414840,26414840,1980452250,0.36741417460143566,25.438781643286347,25.806195817887783
f0089_16,1,,369,train,26414840,26414840,4356994950,0.7562307920306921,25.826507464051247,26.58273825608194
f3730_33,1,,172,train,26414840,26414840,1980452250,0.368786983191967,26.607445780187845,26.976232763379812
f2186_55,1,,172,train,26414840,26414840,1980452250,0.3604367636144161,26.99436667189002,27.354803435504436
f1810_02,1,,109,train,26414840,26414840,1188271350,0.23704621009528637,27.374755335971713,27.611801546067
f3319_48,1,,159,train,26414840,26414840,1848422100,0.3259706664830446,27.63106126897037,27.957031935453415
f3454_44,1,,128,train,26414840,26414840,1452331650,0.2779456600546837,27.97646819613874,28.254413856193423
f0058_07,1,,272,train,26414840,26414840,3168723600,0.5514348279684782,28.273364840075374,28.824799668043852
f1897_40,1,,149,train,26414840,26414840,1716391950,0.3105553388595581,28.842591796070337,29.153147134929895
f3924_24,1,,173,train,26414840,26414840,1980452250,0.34138348512351513,29.168026184663177,29.50940966978669
f1579_11,1,,173,train,26414840,26414840,1980452250,0.35771190002560616,29.526083340868354,29.88379524089396
f0618_44,1,,248,train,26414840,26414840,2904663300,0.5149163603782654,29.902289086952806,30.41720544733107
f0240_02,1,,108,train,26414840,26414840,1188271350,0.2219938188791275,30.435507468879223,30.65750128775835
f1158_21,1,,232,train,26414840,26414840,2640603000,0.4469300005584955,30.677151329815388,31.124081330373883
f0981_17,1,,339,train,26414840,26414840,3960904500,0.6590991076081991,31.14474224857986,31.80384135618806
f1336_30,1,,262,train,26414840,26414840,3036693450,0.5213258098810911,31.819826129823923,32.341151939705014
f0690_26,1,,193,train,26414840,26414840,2244512550,0.394437812268734,32.35890493169427,32.753342743963
f0048_00,1,,132,train,26414840,26414840,1452331650,0.26022744551301,32.77475693821907,33.03498438373208
f2148_78,1,,178,train,26414840,26414840,2112482400,0.35322160832583904,33.05274192430079,33.40596353262663
f1128_24,1,,110,train,26414840,26414840,1188271350,0.2199788186699152,33.42392459139228,33.643903410062194
f2328_92,1,,167,train,26414840,26414840,1980452250,0.3414559029042721,33.66265660338104,34.00411250628531
f2557_98,1,,174,train,26414840,26414840,1980452250,0.34232496842741966,34.023084815591574,34.36540978401899
f1724_42,1,,160,train,26414840,26414840,1848422100,0.3202508296817541,34.381970236077905,34.70222106575966
f2339_76,1,,176,train,26414840,26414840,1980452250,0.3604249283671379,34.71896337531507,35.07938830368221
f3814_43,1,,180,train,26414840,26414840,2112482400,0.3689708225429058,35.09308777935803,35.462058601900935
f0467_18,1,,303,train,26414840,26414840,3564814050,0.6063214223831892,35.47967638261616,36.08599780499935
f1054_20,1,,282,train,26414840,26414840,3300753750,0.5581787992268801,36.10462407208979,36.66280287131667
f3136_07,1,,179,train,26414840,26414840,2112482400,0.382685424759984,36.685634480789304,37.06831990554929
f0800_00,1,,278,train,26414840,26414840,3300753750,0.5657816678285599,37.09032140113413,37.65610306896269
f0114_20,1,,302,train,26414840,26414840,3564814050,0.6201498452574015,37.67019186541438,38.29034171067178
f0787_21,1,,275,train,26414840,26414840,3168723600,0.5434531792998314,38.31069619208574,38.854149371385574
f3733_48,1,,182,train,26414840,26414840,2112482400,0.36843518167734146,38.869065729901195,39.237500911578536
f1848_43,1,,162,train,26414840,26414840,1848422100,0.32327185198664665,39.257839016616344,39.58111086860299
f1855_37,1,,177,train,26414840,26414840,1980452250,0.36554683558642864,39.59985406510532,39.96540090069175
f4053_14,1,,151,train,26414840,26414840,1716391950,0.3236661422997713,39.98388109356165,40.30754723586142
f0422_45,1,,293,train,26414840,26414840,3432783900,0.6004014331847429,40.32316982746124,40.923571260645986
f0551_15,1,,268,train,26414840,26414840,3168723600,0.5447658225893974,40.93693795055151,41.48170377314091
f1849_46,1,,170,train,26414840,26414840,1980452250,0.36353460140526295,41.50556646101177,41.86910106241703
f2020_16,1,,149,train,26414840,26414840,1716391950,0.2979100700467825,41.89131777361035,42.189227843657136
f2378_69,1,,173,train,26414840,26414840,1980452250,0.3469118606299162,42.202335407957435,42.54924726858735
f0257_46,1,,374,train,26414840,26414840,4356994950,0.7507912386208773,42.5704652890563,43.32125652767718
f3217_28,1,,181,train,26414840,26414840,2112482400,0.3722943402826786,43.338198801502585,43.710493141785264
f1469_25,1,,266,train,26414840,26414840,3036693450,0.5350048206746578,43.72543429583311,44.26043911650777
f3402_08,1,,181,train,26414840,26414840,2112482400,0.37273665703833103,44.28072787262499,44.653464529663324
f0231_43,1,,295,train,26414840,26414840,3432783900,0.5944939274340868,44.66765948385,45.26215341128409
f3154_48,1,,172,train,26414840,26414840,1980452250,0.3491425719112158,45.276895036920905,45.62603760883212
f3277_09,1,,178,train,26414840,26414840,2112482400,0.35621290281414986,45.64604351297021,46.00225641578436
f0734_39,1,,361,train,26414840,26414840,4224964800,0.7131605222821236,46.020826295018196,46.73398681730032
f3698_01,1,,166,train,26414840,26414840,1848422100,0.32800846733152866,46.753792928531766,47.081801395863295
f0358_32,1,,357,train,26414840,26414840,4224964800,0.712302703410387,47.10079403221607,47.81309673562646
f2235_81,1,,169,train,26414840,26414840,1980452250,0.3512149453163147,47.83134927228093,48.182564217597246
f4059_48,1,,174,train,26414840,26414840,1980452250,0.3451665472239256,48.20015940442681,48.54532595165074
f3424_24,1,,156,train,26414840,26414840,1848422100,0.3261501081287861,48.560414960607886,48.88656506873667
f1407_18,1,,238,train,26414840,26414840,2772633150,0.4960154388099909,48.90305384807289,49.39906928688288
f3762_40,1,,158,train,26414840,26414840,1848422100,0.31847812607884407,49.413678443059325,49.73215656913817
f3669_35,1,,172,train,26414840,26414840,1980452250,0.3527684435248375,49.750046379864216,50.10281482338905
f0476_07,1,,236,train,26414840,26414840,2772633150,0.48603139258921146,50.11936859600246,50.60539998859167
f1628_45,1,,155,train,26414840,26414840,1716391950,0.31674473732709885,50.61891468800604,50.93565942533314
f3194_31,1,,184,train,26414840,26414840,2112482400,0.37696916423738003,50.950788451358676,51.327757615596056
f1008_28,2,,365,train,26414840,26414840,4224964800,0.7257644813507795,54.54061375744641,55.26637823879719
f3563_46,2,,180,train,26414840,26414840,2112482400,0.34996562637388706,55.29201776906848,55.64198339544237
f1182_38,2,,351,train,26414840,26414840,4092934650,0.6845575664192438,55.66639750264585,56.350955069065094
f1022_17,2,,275,train,26414840,26414840,3168723600,0.5422523319721222,56.37688283994794,56.91913517192006
f2520_64,2,,179,train,26414840,26414840,2112482400,0.36811994947493076,56.93448816984892,57.30260811932385
f2483_64,2,,170,train,26414840,26414840,1980452250,0.3431220594793558,57.32230615243316,57.66542821191251
f0089_16,2,,369,train,26414840,26414840,4356994950,0.7135544829070568,57.69458000175655,58.408134484663606
f3730_33,2,,172,train,26414840,26414840,1980452250,0.3401446118950844,58.43551003187895,58.77565464377403
f2186_55,2,,172,train,26414840,26414840,1980452250,0.33966147899627686,58.80054153688252,59.1402030158788
