experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
clients,femnist,50,"E = 1, tx = 1.0",1337,50,1534.45364688,1931.9633064280001,3466.416953308,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_50_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,femnist,50,"E = 1, tx = 1.0",2026,50,1534.45364688,1934.0654308039998,3468.519077684,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_50_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,femnist,50,"E = 1, tx = 1.0",8888,50,1534.45364688,1935.467201888,3469.920848768,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_50_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,femnist,50,"E = 1, tx = 1.0",9999,50,1534.45364688,1935.44092116,3469.89456804,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_50_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,2,"E = 1, tx = 1.0",42,2,738.623701198,3.068726816,741.692428014,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_2_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,shakespeare,2,"E = 1, tx = 1.0",1337,2,738.623701198,3.065539928,741.689241126,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_2_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,2,"E = 1, tx = 1.0",2026,2,738.623701198,3.3208635709999994,741.9445647689998,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_2_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,2,"E = 1, tx = 1.0",8888,2,738.623701198,3.522537077,742.146238275,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_2_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,2,"E = 1, tx = 1.0",9999,2,738.623701198,3.4231284650000005,742.0468296629999,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_2_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,3,"E = 1, tx = 1.0",42,3,915.3530327689999,3.5721068089999997,918.9251395780001,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
