client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end
f1763_25,1,,157,train,26414840,26414840,9242110500,2.9491068290008116,38.84532203600247,41.79442886500328
f0365_07,1,,285,train,26414840,26414840,16503768750,4.8107611749946955,41.800472450006055,46.61123362500075
f0610_38,1,,278,train,26414840,26414840,16503768750,4.674493082995468,46.6171588730067,51.29165195600217
f1851_06,1,,136,train,26414840,26414840,7921809000,2.3103058179985965,51.29748766700504,53.60779348500364
f3841_01,1,,178,train,26414840,26414840,10562412000,3.1359362299990607,53.61359108400211,56.74952731400117
f3758_19,1,,176,train,26414840,26414840,9902261250,2.9636143219977384,56.75540024300426,59.719014565002
f0166_12,1,,311,train,26414840,26414840,17824070250,5.2712327359986375,59.724903783004265,64.9961365190029
f3230_21,1,,183,train,26414840,26414840,10562412000,3.085466541000642,65.00182350900286,68.0872900500035
f1121_47,1,,238,train,26414840,26414840,13863165750,4.016732839001634,68.09322967900516,72.1099625180068
f1472_37,1,,387,train,26414840,26414840,22445125500,6.492981201998191,72.11586186000204,78.60884306200023
f0114_20,1,,302,train,26414840,26414840,17824070250,5.0781438289996,78.61485477400129,83.69299860300089
f2160_96,1,,176,train,26414840,26414840,9902261250,2.948834896000335,83.69899542900384,86.64783032500418
f3904_45,1,,153,train,26414840,26414840,8581959750,2.5802543079989846,86.6536705690014,89.23392487700039
f2499_74,1,,160,train,26414840,26414840,9242110500,2.711258108000038,89.2397601690027,91.95101827700273
f3721_04,1,,179,train,26414840,26414840,10562412000,3.035987399001897,91.95704926200415,94.99303666100604
f3465_24,1,,165,train,26414840,26414840,9242110500,2.8109703400041326,94.99889240800258,97.80986274800671
f2346_88,1,,169,train,26414840,26414840,9902261250,3.051372355002968,97.81577998500143,100.8671523400044
f2042_30,1,,166,train,26414840,26414840,9242110500,2.9431341879972024,100.87360149000597,103.81673567800317
f1512_39,1,,140,train,26414840,26414840,7921809000,2.5123922510028933,103.82323955500033,106.33563180600322
f3547_04,1,,170,train,26414840,26414840,9902261250,3.047809181996854,106.34209930700308,109.38990848899994
f1425_23,1,,372,train,26414840,26414840,21784974750,6.7835792870027944,109.39638317000208,116.17996245700488
f1026_41,1,,205,train,26414840,26414840,11882713500,3.7688174240029184,116.18648731100257,119.95530473500548
f0703_11,1,,302,train,26414840,26414840,17824070250,5.471250383001461,119.96181576600065,125.43306614900212
f3368_37,1,,175,train,26414840,26414840,9902261250,3.234359030997439,125.43981125500432,128.67417028600175
f0110_48,1,,413,train,26414840,26414840,24425577750,7.2005115789943375,128.68100658300682,135.88151816200116
f1314_29,1,,302,train,26414840,26414840,17824070250,5.586715190001996,135.88753027700295,141.47424546700495
f1651_06,1,,180,train,26414840,26414840,10562412000,3.3554886269994313,141.48063148000074,144.83612010700017
f3928_39,1,,170,train,26414840,26414840,9902261250,3.178806669995538,144.84256555600587,148.0213722260014
f0850_30,1,,329,train,26414840,26414840,19144371750,5.978938471002039,148.02810574100295,154.00704421200498
f1642_04,1,,153,train,26414840,26414840,8581959750,2.805036165002093,154.0136331590038,156.8186693240059
f2126_57,1,,158,train,26414840,26414840,9242110500,2.9759482169974945,156.82517271500546,159.80112093200296
f1165_30,1,,180,train,26414840,26414840,10562412000,3.346817498000746,159.80785954300518,163.15467704100593
f0547_28,1,,416,train,26414840,26414840,24425577750,7.6068470050013275,163.1613997060049,170.7682467110062
f1120_05,1,,401,train,26414840,26414840,23765427000,7.315624675997242,170.7746107960047,178.09023547200195
f3791_09,1,,163,train,26414840,26414840,9242110500,2.9277857130000484,178.0968847720069,181.02467048500694
f3632_10,1,,149,train,26414840,26414840,8581959750,2.704410671001824,181.03118448000168,183.7355951510035
f0203_21,1,,427,train,26414840,26414840,25085728500,7.766853138993611,183.74187807800627,191.50873121699988
f0812_32,1,,380,train,26414840,26414840,22445125500,6.86412802599807,191.51461614700384,198.3787441730019
f1793_33,1,,130,train,26414840,26414840,7261658250,2.353932744998019,198.3847942890061,200.7387270340041
f2482_62,1,,171,train,26414840,26414840,9902261250,3.085408913997526,200.74466351900628,203.8300724330038
f1527_46,1,,179,train,26414840,26414840,10562412000,3.2596066139958566,203.83641620100389,207.09602281499974
f1018_07,1,,145,train,26414840,26414840,8581959750,2.6617825669964077,207.10205832300562,209.76384089000203
f0461_47,1,,347,train,26414840,26414840,20464673250,6.323636123001052,209.77004735800438,216.09368348100543
f0579_26,1,,167,train,26414840,26414840,9902261250,2.997967506002169,216.099826124002,219.09779363000416
f1835_27,1,,122,train,26414840,26414840,6601507500,2.2073671980033396,219.10371282300184,221.31108002100518
f1045_35,1,,161,train,26414840,26414840,9242110500,2.9684101329985424,221.31734225900436,224.2857523920029
f2415_79,1,,158,train,26414840,26414840,9242110500,2.9060714119987097,224.29243953800324,227.19851095000195
f2139_75,1,,142,train,26414840,26414840,7921809000,2.607170295996184,227.20434557700355,229.81151587299973
f0373_35,1,,384,train,26414840,26414840,22445125500,6.99602427699574,229.818028133006,236.81405241000175
f3242_19,1,,158,train,26414840,26414840,9242110500,2.8849421960039763,236.82030237800063,239.7052445740046
f3138_46,1,,178,train,26414840,26414840,10562412000,3.2215733190023457,239.7121086670013,242.93368198600365
f3633_29,1,,177,train,26414840,26414840,9902261250,3.2234734400044545,242.94040111600043,246.16387455600488
f0322_19,1,,246,train,26414840,26414840,14523316500,4.478409139002906,246.17006036700332,250.64846950600622
f0957_15,1,,335,train,26414840,26414840,19804522500,6.593130551998911,250.6546385690017,257.2477691210006
f3668_33,1,,181,train,26414840,26414840,10562412000,3.666553634997399,257.25398157600284,260.92053521100024
f2420_84,1,,178,train,26414840,26414840,10562412000,3.335055912997632,260.9267404070051,264.26179632000276
f0732_46,1,,249,train,26414840,26414840,14523316500,4.704250041002524,264.2701392000017,268.97438924100425
f2120_61,1,,149,train,26414840,26414840,8581959750,2.7796652960023494,268.9809786370024,271.76064393300476
f0406_00,1,,296,train,26414840,26414840,17163919500,5.509437239001272,271.7671662810026,277.27660352000385
f3749_27,1,,134,train,26414840,26414840,7921809000,2.579383001997485,277.282818933003,279.8622019350005
f1566_38,1,,169,train,26414840,26414840,9902261250,3.244445138996525,279.8691625510037,283.1136076900002
f2532_93,1,,183,train,26414840,26414840,10562412000,3.4240026460029185,283.12097964200075,286.54498228800367
f3414_29,1,,173,train,26414840,26414840,9902261250,3.2508569870042265,286.55163226700097,289.8024892540052
f1693_00,1,,166,train,26414840,26414840,9242110500,3.1315655849975883,289.80990094800654,292.94146653300413
f1763_25,2,,157,train,26414840,26414840,9242110500,3.1210545980065945,294.72358373099996,297.84463832900656
f0365_07,2,,285,train,26414840,26414840,16503768750,5.4639171909948345,297.85980901200674,303.32372620300157
f0610_38,2,,278,train,26414840,26414840,16503768750,5.198957843000244,303.33959190000314,308.5385497430034
f1851_06,2,,136,train,26414840,26414840,7921809000,2.633634172998427,308.5593321580018,311.1929663310002
f3841_01,2,,178,train,26414840,26414840,10562412000,3.368999755999539,311.2066255910031,314.57562534700264
f3758_19,2,,176,train,26414840,26414840,9902261250,3.4555919149934198,314.59146073700686,318.0470526520003
f0166_12,2,,311,train,26414840,26414840,17824070250,5.9650309389980976,318.0630510800038,324.0280820190019
f3230_21,2,,183,train,26414840,26414840,10562412000,3.6058558849981637,324.0434452730042,327.64930115800234
f1121_47,2,,238,train,26414840,26414840,13863165750,4.527727191998565,327.66151766100666,332.1892448530052
f1472_37,2,,387,train,26414840,26414840,22445125500,7.149842687002092,332.2027628249998,339.3526055120019
f0114_20,2,,302,train,26414840,26414840,17824070250,5.838391338002111,339.3677189700029,345.206110308005
f2160_96,2,,176,train,26414840,26414840,9902261250,3.4321774749987526,345.22385024800315,348.6560277230019
f3904_45,2,,153,train,26414840,26414840,8581959750,2.9732668100041337,348.66906300900155,351.6423298190057
f2499_74,2,,160,train,26414840,26414840,9242110500,3.0749786239975947,351.6581863070023,354.7331649309999
f3721_04,2,,179,train,26414840,26414840,10562412000,3.442897910004831,354.7545980040013,358.19749591400614
f3465_24,2,,165,train,26414840,26414840,9242110500,3.120454846000939,358.21199577000516,361.3324506160061
f2346_88,2,,169,train,26414840,26414840,9902261250,3.401567527995212,361.34504375700635,364.74661128500156
f2042_30,2,,166,train,26414840,26414840,9242110500,3.1895462710017455,364.7643183360051,367.95386460700684
f1512_39,2,,140,train,26414840,26414840,7921809000,2.648007909003354,367.97060559700185,370.6186135060052
f3547_04,2,,170,train,26414840,26414840,9902261250,3.2328659819977474,370.63287718200445,373.8657431640022
f1425_23,2,,372,train,26414840,26414840,21784974750,7.213530486005766,373.87905696300004,381.0925874490058
f1026_41,2,,205,train,26414840,26414840,11882713500,3.951433400994574,381.1084892120052,385.0599226129998
f0703_11,2,,302,train,26414840,26414840,17824070250,5.768522259000747,385.07877635300247,390.8472986120032
f3368_37,2,,175,train,26414840,26414840,9902261250,3.308680835994892,390.86290740700497,394.17158824299986
f0110_48,2,,413,train,26414840,26414840,24425577750,7.858185444994888,394.1843044180059,402.0424898630008
f1314_29,2,,302,train,26414840,26414840,17824070250,5.855204822997621,402.0585588390022,407.91376366199984
f1651_06,2,,180,train,26414840,26414840,10562412000,3.501441344000341,407.9288788610065,411.43032020500686
f3928_39,2,,170,train,26414840,26414840,9902261250,3.3042067030037288,411.4457853990025,414.7499921020062
f0850_30,2,,329,train,26414840,26414840,19144371750,6.31885583899566,414.76289077900583,421.0817466180015
f1642_04,2,,153,train,26414840,26414840,8581959750,2.908951698002056,421.0973927550003,424.0063444530024
f2126_57,2,,158,train,26414840,26414840,9242110500,2.97640918000252,424.02132368700404,426.99773286700656
f1165_30,2,,180,train,26414840,26414840,10562412000,3.3207249869956286,427.0104636150063,430.33118860200193
f0547_28,2,,416,train,26414840,26414840,24425577750,7.655519523003022,430.34567673700076,438.0011962600038
f1120_05,2,,401,train,26414840,26414840,23765427000,7.247711898999114,438.01353969900083,445.26125159799994
f3791_09,2,,163,train,26414840,26414840,9242110500,2.9742569549998734,445.2761390690066,448.2503960240065
f3632_10,2,,149,train,26414840,26414840,8581959750,2.8126840670011006,448.26438624,451.0770703070011
f0203_21,2,,427,train,26414840,26414840,25085728500,7.944280012998206,451.092427415002,459.0367074280002
f0812_32,2,,380,train,26414840,26414840,22445125500,7.296993577001558,459.0500659430036,466.34705952000513
f1793_33,2,,130,train,26414840,26414840,7261658250,2.4244357339994167,466.3628650900064,468.7873008240058
