client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,time
f1763_25,1,,157,train,26414840,26414840,9242110500,2.949106829000812,38.84532203600247,41.79442886500328,2.949106829000812
f0365_07,1,,285,train,26414840,26414840,16503768750,4.810761174994696,41.800472450006055,46.61123362500075,4.810761174994696
f0610_38,1,,278,train,26414840,26414840,16503768750,4.674493082995467,46.61715887300671,51.29165195600217,4.674493082995467
f1851_06,1,,136,train,26414840,26414840,7921809000,2.3103058179985965,51.29748766700504,53.60779348500364,2.3103058179985965
f3841_01,1,,178,train,26414840,26414840,10562412000,3.1359362299990607,53.61359108400212,56.74952731400117,3.1359362299990607
f3758_19,1,,176,train,26414840,26414840,9902261250,2.9636143219977384,56.75540024300425,59.719014565002006,2.9636143219977384
f0166_12,1,,311,train,26414840,26414840,17824070250,5.2712327359986375,59.72490378300426,64.99613651900289,5.2712327359986375
f3230_21,1,,183,train,26414840,26414840,10562412000,3.0854665410006423,65.00182350900286,68.0872900500035,3.0854665410006423
f1121_47,1,,238,train,26414840,26414840,13863165750,4.016732839001634,68.09322967900516,72.1099625180068,4.016732839001634
f1472_37,1,,387,train,26414840,26414840,22445125500,6.492981201998191,72.11586186000206,78.60884306200023,6.492981201998191
f0114_20,1,,302,train,26414840,26414840,17824070250,5.0781438289995995,78.61485477400129,83.69299860300089,5.0781438289995995
f2160_96,1,,176,train,26414840,26414840,9902261250,2.9488348960003354,83.69899542900384,86.6478303250042,2.9488348960003354
f3904_45,1,,153,train,26414840,26414840,8581959750,2.5802543079989846,86.6536705690014,89.23392487700039,2.5802543079989846
f2499_74,1,,160,train,26414840,26414840,9242110500,2.711258108000038,89.23976016900271,91.95101827700272,2.711258108000038
f3721_04,1,,179,train,26414840,26414840,10562412000,3.035987399001897,91.95704926200416,94.99303666100604,3.035987399001897
f3465_24,1,,165,train,26414840,26414840,9242110500,2.8109703400041326,94.99889240800259,97.80986274800672,2.8109703400041326
f2346_88,1,,169,train,26414840,26414840,9902261250,3.051372355002968,97.81577998500143,100.86715234000441,3.051372355002968
f2042_30,1,,166,train,26414840,26414840,9242110500,2.9431341879972024,100.87360149000595,103.81673567800316,2.9431341879972024
f1512_39,1,,140,train,26414840,26414840,7921809000,2.5123922510028933,103.8232395550003,106.33563180600322,2.5123922510028933
f3547_04,1,,170,train,26414840,26414840,9902261250,3.047809181996853,106.34209930700308,109.38990848899994,3.047809181996853
f1425_23,1,,372,train,26414840,26414840,21784974750,6.783579287002794,109.39638317000208,116.17996245700488,6.783579287002794
f1026_41,1,,205,train,26414840,26414840,11882713500,3.7688174240029184,116.18648731100257,119.9553047350055,3.7688174240029184
f0703_11,1,,302,train,26414840,26414840,17824070250,5.471250383001461,119.96181576600064,125.43306614900213,5.471250383001461
f3368_37,1,,175,train,26414840,26414840,9902261250,3.234359030997439,125.43981125500432,128.67417028600175,3.234359030997439
f0110_48,1,,413,train,26414840,26414840,24425577750,7.2005115789943375,128.68100658300682,135.88151816200116,7.2005115789943375
f1314_29,1,,302,train,26414840,26414840,17824070250,5.586715190001995,135.88753027700295,141.47424546700498,5.586715190001995
f1651_06,1,,180,train,26414840,26414840,10562412000,3.3554886269994317,141.48063148000074,144.83612010700017,3.3554886269994317
f3928_39,1,,170,train,26414840,26414840,9902261250,3.178806669995538,144.84256555600587,148.0213722260014,3.178806669995538
f0850_30,1,,329,train,26414840,26414840,19144371750,5.978938471002039,148.02810574100295,154.00704421200496,5.978938471002039
f1642_04,1,,153,train,26414840,26414840,8581959750,2.805036165002093,154.0136331590038,156.8186693240059,2.805036165002093
f2126_57,1,,158,train,26414840,26414840,9242110500,2.9759482169974945,156.82517271500546,159.80112093200296,2.9759482169974945
f1165_30,1,,180,train,26414840,26414840,10562412000,3.3468174980007466,159.80785954300518,163.1546770410059,3.3468174980007466
f0547_28,1,,416,train,26414840,26414840,24425577750,7.606847005001327,163.16139970600491,170.76824671100619,7.606847005001327
f1120_05,1,,401,train,26414840,26414840,23765427000,7.315624675997242,170.7746107960047,178.09023547200195,7.315624675997242
f3791_09,1,,163,train,26414840,26414840,9242110500,2.9277857130000484,178.09688477200692,181.0246704850069,2.9277857130000484
f3632_10,1,,149,train,26414840,26414840,8581959750,2.704410671001824,181.03118448000168,183.7355951510035,2.704410671001824
f0203_21,1,,427,train,26414840,26414840,25085728500,7.7668531389936115,183.7418780780063,191.5087312169999,7.7668531389936115
f0812_32,1,,380,train,26414840,26414840,22445125500,6.86412802599807,191.51461614700386,198.3787441730019,6.86412802599807
f1793_33,1,,130,train,26414840,26414840,7261658250,2.353932744998019,198.38479428900607,200.73872703400409,2.353932744998019
f2482_62,1,,171,train,26414840,26414840,9902261250,3.0854089139975263,200.74466351900628,203.8300724330038,3.0854089139975263
f1527_46,1,,179,train,26414840,26414840,10562412000,3.2596066139958566,203.83641620100389,207.09602281499974,3.2596066139958566
f1018_07,1,,145,train,26414840,26414840,8581959750,2.661782566996408,207.1020583230056,209.76384089000203,2.661782566996408
f0461_47,1,,347,train,26414840,26414840,20464673250,6.3236361230010525,209.7700473580044,216.09368348100543,6.3236361230010525
f0579_26,1,,167,train,26414840,26414840,9902261250,2.9979675060021687,216.099826124002,219.09779363000416,2.9979675060021687
f1835_27,1,,122,train,26414840,26414840,6601507500,2.20736719800334,219.10371282300187,221.31108002100518,2.20736719800334
