client,round_number,computingTime,computingDemand,computingCap,computingtime
53,1,3.2925331959995674,375348784343.9507,100.0,3.753487843439507
54,1,4.572006843998679,521208780215.8494,100.0,5.212087802158495
55,1,2.427989278003224,276790777692.36755,100.0,2.7679077769236757
56,1,2.365219391998835,269635010687.8672,100.0,2.696350106878672
57,1,3.330370938005217,379662286932.5947,100.0,3.7966228693259474
58,1,2.0021956660057185,228250305924.65192,100.0,2.282503059246519
59,1,3.9448768369984464,449715959417.8229,100.0,4.497159594178229
60,1,1.7752398520024144,202377343128.27524,100.0,2.0237734312827524
61,1,2.272418420005124,259055699880.58414,100.0,2.5905569988058414
62,1,2.444957499996235,278725154999.5708,100.0,2.787251549995708
63,1,2.3115496569953398,263516660897.46872,100.0,2.635166608974687
64,1,2.205176930001471,251390170020.16772,100.0,2.5139017002016772
1,2,2.1094661710012588,240479143494.1435,100.0,2.4047914349414348
2,2,3.866872359001718,440823448926.19586,100.0,4.408234489261958
3,2,3.7212175280001247,424218798192.0142,100.0,4.242187981920142
4,2,1.828146455998649,208408695983.84598,100.0,2.08408695983846
5,2,2.365175350001664,269629989900.1897,100.0,2.696299899001897
6,2,2.337416751004639,266465509614.52887,100.0,2.664655096145289
7,2,4.125398222000513,470295397308.0585,100.0,4.702953973080585
8,2,2.443284879998828,278534476319.8664,100.0,2.785344763198664
9,2,3.1824924559987267,362804139983.85486,100.0,3.6280413998385486
10,2,5.141893831001653,586175896734.1885,100.0,5.861758967341885
11,2,4.0351233399997,460004060759.9658,100.0,4.6000406075996585
12,2,2.3928658869990613,272786711117.893,100.0,2.72786711117893
13,2,2.081276649994834,237265538099.41107,100.0,2.372655380994111
14,2,2.149674041000253,245062840674.02884,100.0,2.4506284067402886
15,2,2.400992579998274,273713154119.80322,100.0,2.7371315411980324
16,2,2.189103757002158,249557828298.24603,100.0,2.49557828298246
17,2,2.269433174995356,258715381949.47055,100.0,2.5871538194947057
18,2,2.2035278149996884,251202170909.96448,100.0,2.5120217090996446
19,2,1.8798737519973656,214305607727.69968,100.0,2.143056077276997
20,2,2.285301681004057,260524391634.46252,100.0,2.6052439163446253
21,2,4.948520380996342,564131323433.583,100.0,5.64131323433583
22,2,2.740664293000009,312435729402.00104,100.0,3.1243572940200104
23,2,4.031793514004676,459624460596.533,100.0,4.59624460596533
24,2,2.406207152998832,274307615441.86685,100.0,2.7430761544186684
25,2,5.5314329199973145,630583352879.6938,100.0,6.3058335287969385
26,2,4.026174762002484,458983922868.2832,100.0,4.589839228682832
27,2,2.41810328700376,275663774718.42865,100.0,2.7566377471842864
28,2,2.286392034999153,260648691989.90344,100.0,2.6064869198990346
29,2,4.383814610002446,499754865540.2789,100.0,4.997548655402789
30,2,2.0399658099995577,232556102339.9496,100.0,2.3255610233994957
31,2,2.121635816001799,241866483024.20508,100.0,2.418664830242051
32,2,2.4191121840049163,275778788976.5605,100.0,2.7577878897656047
33,2,5.550563655000588,632764256670.067,100.0,6.32764256670067
34,2,5.425449886999559,618501287117.9497,100.0,6.185012871179497
35,2,2.1732860170013737,247754605938.15662,100.0,2.477546059381566
36,2,1.9988627380007529,227870352132.08582,100.0,2.278703521320858
37,2,5.68845635499747,648484024469.7115,100.0,6.484840244697115
38,2,5.151883915998042,587314766423.7767,100.0,5.873147664237767
39,2,1.7671235320012784,201452082648.14572,100.0,2.014520826481457
