client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f1008_28,1,,365,train,26414840,26414840,4224964800,2.036445327103138,57.63530404493213,59.67174937203527,232154767289.75772,100.0,100.0,2.321547672897577,2.321547672897577
f3563_46,1,,180,train,26414840,26414840,2112482400,1.016668722033501,59.685184268280864,60.70185299031437,115900234311.8191,100.0,100.0,1.1590023431181908,1.1590023431181908
f1182_38,1,,351,train,26414840,26414840,4092934650,1.946650555357337,60.71797225624323,62.664622811600566,221918163310.73642,100.0,100.0,2.219181633107364,2.219181633107364
f1022_17,1,,275,train,26414840,26414840,3168723600,1.5184848476201296,62.68233228474856,64.20081713236868,173107272628.69476,100.0,100.0,1.7310727262869476,1.7310727262869476
f2520_64,1,,179,train,26414840,26414840,2112482400,1.0009265299886465,64.21405498683453,65.21498151682317,114105624418.7057,100.0,100.0,1.1410562441870569,1.1410562441870569
f2483_64,1,,170,train,26414840,26414840,1980452250,0.9562888108193874,65.23043279722333,66.18672160804272,109016924433.41017,100.0,100.0,1.0901692443341016,1.0901692443341016
f0089_16,1,,369,train,26414840,26414840,4356994950,2.047710783779621,66.2030059043318,68.25071668811142,233439029350.8768,100.0,100.0,2.334390293508768,2.334390293508768
f3730_33,1,,172,train,26414840,26414840,1980452250,0.9634368401020764,68.2672257758677,69.23066261596978,109831799771.63672,100.0,100.0,1.098317997716367,1.098317997716367
f2186_55,1,,172,train,26414840,26414840,1980452250,0.9623754564672709,69.24797821976244,70.21035367622972,109710802037.26888,100.0,100.0,1.0971080203726886,1.0971080203726886
f1810_02,1,,109,train,26414840,26414840,1188271350,0.6066030953079462,70.22759799286723,70.83420108817518,69152752865.10587,100.0,100.0,0.6915275286510586,0.6915275286510586
f3319_48,1,,159,train,26414840,26414840,1848422100,0.896205510944128,70.85142904520035,71.74763455614448,102167428247.6306,100.0,100.0,1.0216742824763059,1.0216742824763059
f3454_44,1,,128,train,26414840,26414840,1452331650,0.7187905833125114,71.76456589996815,72.48335648328066,81942126497.62631,100.0,100.0,0.819421264976263,0.819421264976263
f0058_07,1,,272,train,26414840,26414840,3168723600,1.5053307730704546,72.49996239878237,74.00529317185283,171607708130.03183,100.0,100.0,1.716077081300318,1.716077081300318
f1897_40,1,,149,train,26414840,26414840,1716391950,0.8367232885211706,74.02230113185942,74.85902442038059,95386454891.41345,100.0,100.0,0.9538645489141344,0.9538645489141344
f3924_24,1,,173,train,26414840,26414840,1980452250,0.9620348885655404,74.8767730332911,75.83880792185664,109671977296.4716,100.0,100.0,1.096719772964716,1.096719772964716
f1579_11,1,,173,train,26414840,26414840,1980452250,0.962142376229167,75.85559669137001,76.81773906759918,109684230890.12503,100.0,100.0,1.0968423089012502,1.0968423089012502
f0618_44,1,,248,train,26414840,26414840,2904663300,1.3853026516735554,76.834298113361,78.21960076503456,157924502290.7853,100.0,100.0,1.579245022907853,1.579245022907853
