client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,time
f1008_28,1,,365,train,26414840,26414840,21124824000,10.05823216587305,57.724300123751156,67.78253228962421,10.05823216587305
f3563_46,1,,180,train,26414840,26414840,10562412000,5.027638606727123,67.80068853124976,72.82832713797687,5.027638606727123
f1182_38,1,,351,train,26414840,26414840,20464673250,9.62420509196818,72.8456107545644,82.46981584653257,9.62420509196818
f1022_17,1,,275,train,26414840,26414840,15843618000,7.540496114641428,82.48702433891594,90.02752045355737,7.540496114641428
f2520_64,1,,179,train,26414840,26414840,10562412000,4.960495937615633,90.04549118690193,95.00598712451756,4.960495937615633
f2483_64,1,,170,train,26414840,26414840,9902261250,4.765070520341396,95.02304264716804,99.78811316750944,4.765070520341396
f0089_16,1,,369,train,26414840,26414840,21784974750,10.247456431388855,99.80536385066809,110.05282028205693,10.247456431388855
f3730_33,1,,172,train,26414840,26414840,9902261250,4.7778662890195855,110.06948618590832,114.8473524749279,4.7778662890195855
f2186_55,1,,172,train,26414840,26414840,9902261250,4.792750654742123,114.86521579883991,119.65796645358203,4.792750654742123
f1810_02,1,,109,train,26414840,26414840,5941356750,3.0096537489444017,119.6752151288092,122.68486887775362,3.0096537489444017
f3319_48,1,,159,train,26414840,26414840,9242110500,4.476520312950014,122.70202205702664,127.17854236997664,4.476520312950014
f3454_44,1,,128,train,26414840,26414840,7261658250,3.6475948113948102,127.19577337428929,130.84336818568406,3.6475948113948102
f0058_07,1,,272,train,26414840,26414840,15843618000,7.551916504278778,130.86031362228096,138.4122301265597,7.551916504278778
f1897_40,1,,149,train,26414840,26414840,8581959750,4.201623596251012,138.42949582636356,142.63111942261455,4.201623596251012
f3924_24,1,,173,train,26414840,26414840,9902261250,4.8304962795227775,142.6481714230031,147.47866770252585,4.8304962795227775
f1579_11,1,,173,train,26414840,26414840,9902261250,4.815710589289665,147.49668576568362,152.31239635497332,4.815710589289665
f0618_44,1,,248,train,26414840,26414840,14523316500,6.968918401747942,152.32983032055202,159.2987487222999,6.968918401747942
f0240_02,1,,108,train,26414840,26414840,5941356750,3.0223500076681376,159.31552760116756,162.33787760883567,3.0223500076681376
f1158_21,1,,232,train,26414840,26414840,13203015000,6.413929617032409,162.35530136711898,168.7692309841514,6.413929617032409
f0981_17,1,,339,train,26414840,26414840,19804522500,9.448235498741267,168.78646371513602,178.2346992138773,9.448235498741267
f1336_30,1,,262,train,26414840,26414840,15183467250,7.3061556704342365,178.25173018313941,185.55788585357368,7.3061556704342365
f0690_26,1,,193,train,26414840,26414840,11222562750,5.4690433107316485,185.57527583278718,191.04431914351883,5.4690433107316485
f0048_00,1,,132,train,26414840,26414840,7261658250,3.6569837424904112,191.06151736713943,194.71850110962987,3.6569837424904112
f2148_78,1,,178,train,26414840,26414840,10562412000,4.940961303189396,194.73564443178475,199.67660573497415,4.940961303189396
f1128_24,1,,110,train,26414840,26414840,5941356750,3.057844877243042,199.69339240156117,202.75123727880415,3.057844877243042
f2328_92,1,,167,train,26414840,26414840,9902261250,4.593896498903631,202.7684363722801,207.3623328711837,4.593896498903631
f2557_98,1,,174,train,26414840,26414840,9902261250,4.848592543974519,207.3798997346312,212.2284922786057,4.848592543974519
f1724_42,1,,160,train,26414840,26414840,9242110500,4.5048807710409156,212.24540237523613,216.7502831462771,4.5048807710409156
f2339_76,1,,176,train,26414840,26414840,9902261250,4.888360120356083,216.767475258559,221.6558353789151,4.888360120356083
f3814_43,1,,180,train,26414840,26414840,10562412000,5.092095224186778,221.6724323630333,226.76452758722007,5.092095224186778
f0467_18,1,,303,train,26414840,26414840,17824070250,8.480051694437861,226.78170801512897,235.26175970956683,8.480051694437861
f1054_20,1,,282,train,26414840,26414840,16503768750,7.867052624002099,235.2789176106453,243.14597023464742,7.867052624002099
f3136_07,1,,179,train,26414840,26414840,10562412000,5.0497945472598085,243.16381891816852,248.21361346542838,5.0497945472598085
f0800_00,1,,278,train,26414840,26414840,16503768750,7.697756860405207,248.2307664174586,255.92852327786383,7.697756860405207
f0114_20,1,,302,train,26414840,26414840,17824070250,8.374771812930701,255.9454583898187,264.32023020274937,8.374771812930701
f0787_21,1,,275,train,26414840,26414840,15843618000,7.6348059214651585,264.3375475108624,271.9723534323275,7.6348059214651585
f3733_48,1,,182,train,26414840,26414840,10562412000,5.0985407531261435,271.9895486552268,277.08808940835297,5.0985407531261435
f1848_43,1,,162,train,26414840,26414840,9242110500,4.52457882091403,277.105737157166,281.6303159780801,4.52457882091403
f1855_37,1,,177,train,26414840,26414840,9902261250,4.883478475734592,281.6472942866385,286.53077276237315,4.883478475734592
f4053_14,1,,151,train,26414840,26414840,8581959750,4.22115183994174,286.5475304462016,290.7686822861433,4.22115183994174
f0422_45,1,,293,train,26414840,26414840,17163919500,8.166064644232392,290.7858690936118,298.95193373784423,8.166064644232392
f0551_15,1,,268,train,26414840,26414840,15843618000,7.458104982972145,298.9686447829008,306.42674976587296,7.458104982972145
f1849_46,1,,170,train,26414840,26414840,9902261250,4.827206732705236,306.44412413798267,311.271330870688,4.827206732705236
f2020_16,1,,149,train,26414840,26414840,8581959750,4.206038957461715,311.288572832942,315.49461179040367,4.206038957461715
f2378_69,1,,173,train,26414840,26414840,9902261250,4.851875746622682,315.5115527324378,320.36342847906053,4.851875746622682
f0257_46,1,,374,train,26414840,26414840,21784974750,10.372305214405062,320.3805301226676,330.75283533707267,10.372305214405062
