client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end
f1763_25,1,,157,train,26414840,26414840,3696844200,0.7073289960007969,18.89731860699976,19.604647603000558
f0365_07,1,,285,train,26414840,26414840,6601507500,1.1845416329997533,19.611288031001095,20.79582966400085
f0610_38,1,,278,train,26414840,26414840,6601507500,1.1106178419995558,20.803127953000512,21.913745795000068
f1851_06,1,,136,train,26414840,26414840,3168723600,0.5601669989991933,21.920746116000373,22.480913114999566
f3841_01,1,,178,train,26414840,26414840,4224964800,0.7002164180012187,22.488837128999876,23.189053547001095
f3758_19,1,,176,train,26414840,26414840,3960904500,0.7313744889997906,23.195977367000523,23.927351856000314
f0166_12,1,,311,train,26414840,26414840,7129628100,1.2552487310003926,23.934381109000242,25.189629840000634
f3230_21,1,,183,train,26414840,26414840,4224964800,0.7499193739986367,25.196756499000912,25.94667587299955
f1121_47,1,,238,train,26414840,26414840,5545266300,1.0073852710011124,25.95359419899978,26.960979470000893
f1472_37,1,,387,train,26414840,26414840,8978050200,1.560530877999554,26.967994921000354,28.528525798999908
f0114_20,1,,302,train,26414840,26414840,7129628100,1.2768711259996053,28.535852887000146,29.81272401299975
f2160_96,1,,176,train,26414840,26414840,3960904500,0.6833778069994878,29.820184967000387,30.503562773999874
f3904_45,1,,153,train,26414840,26414840,3432783900,0.6152422999984992,30.510633105001034,31.125875404999533
f2499_74,1,,160,train,26414840,26414840,3696844200,0.7077356730005704,31.13328843599993,31.8410241090005
f3721_04,1,,179,train,26414840,26414840,4224964800,0.7157470010006364,31.848580640000364,32.564327641001
f3465_24,1,,165,train,26414840,26414840,3696844200,0.6865804839999328,32.57147642500058,33.258056909000516
f2346_88,1,,169,train,26414840,26414840,3960904500,0.6887602850001713,33.26539131000027,33.95415159500044
f2042_30,1,,166,train,26414840,26414840,3696844200,0.7103557979990001,33.96159807100048,34.67195386899948
f1512_39,1,,140,train,26414840,26414840,3168723600,0.5738525510005275,34.6793744280003,35.25322697900083
f3547_04,1,,170,train,26414840,26414840,3960904500,0.6819522819987469,35.2602720570012,35.94222433899995
f1425_23,1,,372,train,26414840,26414840,8713989900,1.490251740999156,35.949963437000406,37.44021517799956
f1026_41,1,,205,train,26414840,26414840,4753085400,0.9038425509988883,37.44756894100101,38.3514114919999
f0703_11,1,,302,train,26414840,26414840,7129628100,1.2154060280008707,38.35891081999944,39.57431684800031
f3368_37,1,,175,train,26414840,26414840,3960904500,0.698540901999877,39.5816082550009,40.28014915700078
f0110_48,1,,413,train,26414840,26414840,9770231100,1.6517253000001801,40.28725686300095,41.93898216300113
f1314_29,1,,302,train,26414840,26414840,7129628100,1.2058255129995814,41.946307988000626,43.15213350100021
f1651_06,1,,180,train,26414840,26414840,4224964800,0.7346846489999734,43.15901909100103,43.893703740001
f3928_39,1,,170,train,26414840,26414840,3960904500,0.7608808099994349,43.900969594000344,44.66185040399978
f0850_30,1,,329,train,26414840,26414840,7657748700,1.3357549350002955,44.669228632999875,46.00498356800017
f1642_04,1,,153,train,26414840,26414840,3432783900,0.610873884999819,46.0124726110007,46.62334649600052
f2126_57,1,,158,train,26414840,26414840,3696844200,0.6748728109996591,46.63084515400078,47.30571796500044
f1165_30,1,,180,train,26414840,26414840,4224964800,0.7201227440000366,47.31302876799964,48.03315151199968
f0547_28,1,,416,train,26414840,26414840,9770231100,1.6748736650006322,48.04068601899962,49.715559684000254
f1120_05,1,,401,train,26414840,26414840,9506170800,1.5897347159989295,49.72271740200085,51.31245211799978
f3791_09,1,,163,train,26414840,26414840,3696844200,0.654120128001523,51.31957636399966,51.97369649200118
f3632_10,1,,149,train,26414840,26414840,3432783900,0.6313066469992918,51.980948385000374,52.612255031999666
f0203_21,1,,427,train,26414840,26414840,10034291400,1.7262014930001897,52.61961546299972,54.34581695599991
f0812_32,1,,380,train,26414840,26414840,8978050200,1.5641591359999438,54.3531687650011,55.917327901001045
f1793_33,1,,130,train,26414840,26414840,2904663300,0.5187019659988437,55.924488161001136,56.44319012699998
f2482_62,1,,171,train,26414840,26414840,3960904500,0.7306283210000402,56.45031503500104,57.18094335600108
f1527_46,1,,179,train,26414840,26414840,4224964800,0.7285566049995396,57.1885901250007,57.91714673000024
f1018_07,1,,145,train,26414840,26414840,3432783900,0.5960992310010624,57.92426414500005,58.520363376001114
f0461_47,1,,347,train,26414840,26414840,8185869300,1.367603284001234,58.527766053999585,59.89536933800082
f0579_26,1,,167,train,26414840,26414840,3960904500,0.6949457069986238,59.90273592400081,60.59768163099943
f1835_27,1,,122,train,26414840,26414840,2640603000,0.4698921449999034,60.60487528200065,61.07476742700055
f1045_35,1,,161,train,26414840,26414840,3696844200,0.6984805680003774,61.082260777000556,61.78074134500093
f2415_79,1,,158,train,26414840,26414840,3696844200,0.6378147819996229,61.78786530800062,62.42568009000024
f2139_75,1,,142,train,26414840,26414840,3168723600,0.5684482320011739,62.43320251499972,63.001650747000895
f0373_35,1,,384,train,26414840,26414840,8978050200,1.5509141540005658,63.009032091000336,64.5599462450009
f3242_19,1,,158,train,26414840,26414840,3696844200,0.7072784539996064,64.56704780600012,65.27432625999973
f3138_46,1,,178,train,26414840,26414840,4224964800,0.6845028530005948,65.28145958099958,65.96596243400018
f3633_29,1,,177,train,26414840,26414840,3960904500,0.767037496998455,65.97312567300105,66.7401631699995
f0322_19,1,,246,train,26414840,26414840,5809326600,0.9826128189997689,66.74734235700089,67.72995517600066
f0957_15,1,,335,train,26414840,26414840,7921809000,1.3639828639988991,67.73739267500059,69.10137553899949
f3668_33,1,,181,train,26414840,26414840,4224964800,0.7865633420005906,69.10858885800008,69.89515220000067
f2420_84,1,,178,train,26414840,26414840,4224964800,0.7156026490010845,69.90277863499978,70.61838128400086
f0732_46,1,,249,train,26414840,26414840,5809326600,1.0241405760007183,70.62569214399991,71.64983272000063
f2120_61,1,,149,train,26414840,26414840,3432783900,0.6017073219991289,71.6570663800012,72.25877370200033
f0406_00,1,,296,train,26414840,26414840,6865567800,1.2199675440006104,72.2660359599995,73.48600350400011
f3749_27,1,,134,train,26414840,26414840,3168723600,0.5220470420008496,73.49308107300021,74.01512811500106
f1566_38,1,,169,train,26414840,26414840,3960904500,0.7326687819986546,74.02263445100107,74.75530323299972
f2532_93,1,,183,train,26414840,26414840,4224964800,0.73732125099923,74.7625169210005,75.49983817199973
f3414_29,1,,173,train,26414840,26414840,3960904500,0.7369480219986144,75.50729291900097,76.24424094099959
f1693_00,1,,166,train,26414840,26414840,3696844200,0.6396887049995712,76.25156668199998,76.89125538699955
f1763_25,2,,157,train,26414840,26414840,3696844200,0.6205842069994105,78.38692314000036,79.00750734699977
f0365_07,2,,285,train,26414840,26414840,6601507500,1.1773283909988095,79.02626041900112,80.20358880999993
f0610_38,2,,278,train,26414840,26414840,6601507500,1.1214475730012055,80.21959567399972,81.34104324700093
f1851_06,2,,136,train,26414840,26414840,3168723600,0.5422330290002719,81.35941754300075,81.90165057200102
f3841_01,2,,178,train,26414840,26414840,4224964800,0.7197635009997612,81.9185635470003,82.63832704800006
f3758_19,2,,176,train,26414840,26414840,3960904500,0.6928072389982844,82.65614729400113,83.34895453299941
f0166_12,2,,311,train,26414840,26414840,7129628100,1.2032348700013245,83.3645481349995,84.56778300500082
f3230_21,2,,183,train,26414840,26414840,4224964800,0.7125955209994572,84.5857206290002,85.29831614999966
f1121_47,2,,238,train,26414840,26414840,5545266300,1.003033194998352,85.31378505500106,86.31681824999941
f1472_37,2,,387,train,26414840,26414840,8978050200,1.5453452550009388,86.3348664719997,87.88021172700064
f0114_20,2,,302,train,26414840,26414840,7129628100,1.2409340450012678,87.89506270899983,89.1359967540011
f2160_96,2,,176,train,26414840,26414840,3960904500,0.6774721919991862,89.15437006700085,89.83184225900004
f3904_45,2,,153,train,26414840,26414840,3432783900,0.6691870869999548,89.84802768699956,90.51721477399951
f2499_74,2,,160,train,26414840,26414840,3696844200,0.6367539670009137,90.53384435999942,91.17059832700033
f3721_04,2,,179,train,26414840,26414840,4224964800,0.7106478620007692,91.18653718799942,91.89718505000019
f3465_24,2,,165,train,26414840,26414840,3696844200,0.6982766309993167,91.91528115700021,92.61355778799953
f2346_88,2,,169,train,26414840,26414840,3960904500,0.688399329999811,92.62938873700114,93.31778806700095
f2042_30,2,,166,train,26414840,26414840,3696844200,0.7095680949987582,93.33517121300065,94.04473930799941
