client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f1008_28,1,,365,train,26414840,26414840,4224964800,0.7705126367509365,22.55862078629434,23.32913342304528,87838440589.60677,100.0,100.0,0.8783844058960676,0.8783844058960676
f3563_46,1,,180,train,26414840,26414840,2112482400,0.3774385321885347,23.343960039317608,23.721398571506143,43027992669.49295,100.0,100.0,0.4302799266949295,0.4302799266949295
f1182_38,1,,351,train,26414840,26414840,4092934650,0.7254000827670097,23.741873539984223,24.46727362275124,82695609435.43912,100.0,100.0,0.826956094354391,0.826956094354391
f1022_17,1,,275,train,26414840,26414840,3168723600,0.548007408156991,24.4803319927305,25.02833940088749,62472844529.89697,100.0,100.0,0.6247284452989696,0.6247284452989696
f2520_64,1,,179,train,26414840,26414840,2112482400,0.3717210665345192,25.047743124887347,25.419464191421863,42376201584.93519,100.0,100.0,0.42376201584935186,0.42376201584935186
f2483_64,1,,170,train,26414840,26414840,1980452250,0.3674141746014356,25.438781643286347,25.806195817887783,41885215904.56366,100.0,100.0,0.41885215904563655,0.41885215904563655
f0089_16,1,,369,train,26414840,26414840,4356994950,0.7562307920306921,25.826507464051247,26.58273825608194,86210310291.4989,100.0,100.0,0.8621031029149889,0.8621031029149889
f3730_33,1,,172,train,26414840,26414840,1980452250,0.368786983191967,26.607445780187845,26.97623276337981,42041716083.88424,100.0,100.0,0.42041716083884234,0.42041716083884234
f2186_55,1,,172,train,26414840,26414840,1980452250,0.3604367636144161,26.99436667189002,27.35480343550444,41089791052.04344,100.0,100.0,0.41089791052043434,0.41089791052043434
f1810_02,1,,109,train,26414840,26414840,1188271350,0.2370462100952863,27.374755335971717,27.611801546067,27023267950.86264,100.0,100.0,0.2702326795086264,0.2702326795086264
f3319_48,1,,159,train,26414840,26414840,1848422100,0.3259706664830446,27.63106126897037,27.95703193545341,37160655979.067085,100.0,100.0,0.37160655979067087,0.37160655979067087
f3454_44,1,,128,train,26414840,26414840,1452331650,0.2779456600546837,27.97646819613874,28.254413856193423,31685805246.23394,100.0,100.0,0.3168580524623394,0.3168580524623394
f0058_07,1,,272,train,26414840,26414840,3168723600,0.5514348279684782,28.273364840075374,28.82479966804385,62863570388.40652,100.0,100.0,0.6286357038840651,0.6286357038840651
f1897_40,1,,149,train,26414840,26414840,1716391950,0.3105553388595581,28.842591796070337,29.153147134929892,35403308629.989624,100.0,100.0,0.3540330862998962,0.3540330862998962
f3924_24,1,,173,train,26414840,26414840,1980452250,0.3413834851235151,29.168026184663177,29.50940966978669,38917717304.08072,100.0,100.0,0.3891771730408071,0.3891771730408071
f1579_11,1,,173,train,26414840,26414840,1980452250,0.3577119000256061,29.526083340868357,29.88379524089396,40779156602.9191,100.0,100.0,0.4077915660291909,0.4077915660291909
f0618_44,1,,248,train,26414840,26414840,2904663300,0.5149163603782654,29.90228908695281,30.41720544733107,58700465083.12225,100.0,100.0,0.5870046508312224,0.5870046508312224
f0240_02,1,,108,train,26414840,26414840,1188271350,0.2219938188791275,30.435507468879223,30.65750128775835,25307295352.220535,100.0,100.0,0.2530729535222053,0.2530729535222053
f1158_21,1,,232,train,26414840,26414840,2640603000,0.4469300005584955,30.677151329815388,31.124081330373883,50950020063.66849,100.0,100.0,0.5095002006366849,0.5095002006366849
f0981_17,1,,339,train,26414840,26414840,3960904500,0.6590991076081991,31.14474224857986,31.80384135618806,75137298267.3347,100.0,100.0,0.751372982673347,0.751372982673347
f1336_30,1,,262,train,26414840,26414840,3036693450,0.5213258098810911,31.819826129823923,32.341151939705014,59431142326.44439,100.0,100.0,0.5943114232644439,0.5943114232644439
f0690_26,1,,193,train,26414840,26414840,2244512550,0.394437812268734,32.35890493169427,32.753342743963,44965910598.63567,100.0,100.0,0.4496591059863567,0.4496591059863567
f0048_00,1,,132,train,26414840,26414840,1452331650,0.26022744551301,32.77475693821907,33.03498438373208,29665928788.483143,100.0,100.0,0.2966592878848314,0.2966592878848314
f2148_78,1,,178,train,26414840,26414840,2112482400,0.353221608325839,33.05274192430079,33.40596353262663,40267263349.145645,100.0,100.0,0.40267263349145643,0.40267263349145643
f1128_24,1,,110,train,26414840,26414840,1188271350,0.2199788186699152,33.42392459139228,33.643903410062194,25077585328.37033,100.0,100.0,0.25077585328370333,0.25077585328370333
