client,round_number,computingTime,computingDemand,computingCap,computingtime
9,3,3.8322406113147736,436875429689.88416,100.0,4.3687542968988415
10,3,2.4205490425229077,275942590847.61145,100.0,2.7594259084761146
11,3,3.581111397594213,408246699325.7403,100.0,4.082466993257403
12,3,2.871322464197874,327330760918.5576,100.0,3.273307609185576
13,3,6.032219676300883,687673043098.3007,100.0,6.876730430983007
14,3,3.3476348593831062,381630373969.67413,100.0,3.816303739696741
15,3,3.894649807363749,443990078039.4674,100.0,4.439900780394674
16,3,3.849884076043963,438886784669.0118,100.0,4.388867846690117
17,3,5.548358639702201,632512884926.0509,100.0,6.325128849260509
18,3,2.4126229602843523,275039017472.41614,100.0,2.7503901747241613
19,3,5.11128999106586,582687058981.508,100.0,5.826870589815081
20,3,7.509041177108884,856030694190.4127,100.0,8.560306941904127
21,3,5.7994241043925285,661134347900.7483,100.0,6.611343479007483
22,3,4.311856467276812,491551637269.5565,100.0,4.915516372695565
23,3,2.913055764511228,332088357154.27997,100.0,3.3208835715427996
24,3,3.92094143666327,446987323779.6128,100.0,4.469873237796128
25,3,2.4380789659917355,277941002123.05786,100.0,2.7794100212305786
26,3,3.6770721804350615,419186228569.597,100.0,4.1918622856959695
27,3,3.863426921889186,440430669095.3672,100.0,4.404306690953672
28,3,3.5913280248641968,409411394834.51843,100.0,4.094113948345185
29,3,3.929280702024698,447938000030.81555,100.0,4.479380000308155
30,3,4.059139836579561,462741941370.07,100.0,4.6274194137007
31,3,6.754104690626264,769967934731.394,100.0,7.69967934731394
32,3,6.269289644435048,714699019465.5955,100.0,7.146990194655954
33,3,3.9956951569765806,455509247895.3302,100.0,4.555092478953302
34,3,6.119451507925987,697617471903.5625,100.0,6.976174719035625
35,3,6.683926267549396,761967594500.6311,100.0,7.619675945006311
36,3,6.079694259911776,693085145629.9424,100.0,6.930851456299424
37,3,4.071525797247887,464153940886.2591,100.0,4.641539408862591
38,3,3.60385250300169,410839185342.1926,100.0,4.108391853421926
39,3,3.9084706399589777,445565652955.3235,100.0,4.455656529553234
40,3,3.361040491610765,383158616043.6272,100.0,3.831586160436272
41,3,6.555722007527947,747352308858.186,100.0,7.47352308858186
42,3,5.947020050138235,677960285715.7588,100.0,6.779602857157588
43,3,3.838643027469516,437605305131.5248,100.0,4.376053051315248
44,3,3.347026264294982,381560994129.6279,100.0,3.8156099412962794
45,3,3.8487590849399567,438758535683.155,100.0,4.387585356831551
46,3,8.2645413428545,942157713085.413,100.0,9.42157713085413
47,3,4.05259227193892,461995519001.03687,100.0,4.619955190010368
48,3,5.861423026770353,668202225051.8203,100.0,6.682022250518203
49,3,4.055794756859541,462360602281.9877,100.0,4.623606022819876
50,3,6.540786592289805,745649671521.0378,100.0,7.4564967152103785
51,3,3.833643479272723,437035356637.09045,100.0,4.3703535663709046
52,3,3.9185235761106014,446711687676.6086,100.0,4.467116876766085
53,3,8.027581300586462,915144268266.8567,100.0,9.151442682668566
54,3,3.659483356401324,417181102629.7509,100.0,4.171811026297509
55,3,7.912208126857877,901991726461.798,100.0,9.01991726461798
56,3,3.8099485393613577,434334133487.19476,100.0,4.343341334871948
57,3,3.8655173517763615,440668978102.5052,100.0,4.406689781025052
58,3,3.43119328096509,391156034030.02026,100.0,3.911560340300203
59,3,5.303078347817063,604550931651.1453,100.0,6.045509316511453
60,3,3.5644040759652853,406342064660.04254,100.0,4.0634206466004255
61,3,3.8320650681853294,436855417773.12756,100.0,4.3685541777312755
62,3,5.275163324549794,601368618998.6765,100.0,6.013686189986765
63,3,3.4182695988565683,389682734269.6488,100.0,3.896827342696488
64,3,4.091485584154725,466429356593.6387,100.0,4.664293565936386
1,4,8.08418832346797,921597468875.3485,100.0,9.215974688753485
2,4,4.053498620167375,462098842699.0807,100.0,4.620988426990807
3,4,7.768606055527925,885621090330.1833,100.0,8.856210903301834
4,4,6.08096201531589,693229669746.0115,100.0,6.932296697460115
5,4,3.994286144152284,455348620433.3604,100.0,4.553486204333604
6,4,3.823661927133799,435897459693.2531,100.0,4.358974596932531
7,4,8.211207319051027,936077634371.8171,100.0,9.360776343718172
8,4,3.83188708871603,436835128113.62744,100.0,4.368351281136275
9,4,3.834241637960076,437103546727.44867,100.0,4.371035467274487
10,4,2.4203054569661617,275914822094.14246,100.0,2.7591482209414244
11,4,3.5811329521238804,408249156542.1224,100.0,4.082491565421224
12,4,2.871240323409438,327321396868.67596,100.0,3.27321396868676
13,4,6.032843763008714,687744188982.9934,100.0,6.877441889829934
14,4,3.3820983674377203,385559213887.9001,100.0,3.855592138879001
