client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime
f1763_25,1,,157,train,26414840,26414840,5545266300,1.0765941870013194
f0365_07,1,,285,train,26414840,26414840,9902261250,1.7330594629966072
f0610_38,1,,278,train,26414840,26414840,9902261250,1.637959800002136
f1851_06,1,,136,train,26414840,26414840,4753085400,0.7949471970023296
f3841_01,1,,178,train,26414840,26414840,6337447200,1.0711976239981595
f3758_19,1,,176,train,26414840,26414840,5941356750,0.9851839690018096
f0166_12,1,,311,train,26414840,26414840,10694442150,1.9037457640006323
f3230_21,1,,183,train,26414840,26414840,6337447200,1.0780401800002437
f1121_47,1,,238,train,26414840,26414840,8317899450,1.4779994319978869
f1472_37,1,,387,train,26414840,26414840,13467075300,2.403534720000607
f1763_25,2,,157,train,26414840,26414840,5545266300,0.9678226579999318
f0365_07,2,,285,train,26414840,26414840,9902261250,1.6915827199991327
f0610_38,2,,278,train,26414840,26414840,9902261250,1.651810478997504
f1851_06,2,,136,train,26414840,26414840,4753085400,0.8934553690014582
f3841_01,2,,178,train,26414840,26414840,6337447200,1.1101328449985886
f3758_19,2,,176,train,26414840,26414840,5941356750,1.046093306998955
f0166_12,2,,311,train,26414840,26414840,10694442150,2.6293152469988854
f3230_21,2,,183,train,26414840,26414840,6337447200,1.5204492900011246
f1121_47,2,,238,train,26414840,26414840,8317899450,1.619299690999469
f1472_37,2,,387,train,26414840,26414840,13467075300,2.263611952002975
f1763_25,3,,157,train,26414840,26414840,5545266300,0.9882939499984786
f0365_07,3,,285,train,26414840,26414840,9902261250,1.7525635749989306
f0610_38,3,,278,train,26414840,26414840,9902261250,1.649702652997803
f1851_06,3,,136,train,26414840,26414840,4753085400,0.8576695449992258
f3841_01,3,,178,train,26414840,26414840,6337447200,1.0232491099995968
f3758_19,3,,176,train,26414840,26414840,5941356750,1.099750214998494
f0166_12,3,,311,train,26414840,26414840,10694442150,1.8479498509987025
f3230_21,3,,183,train,26414840,26414840,6337447200,1.1513316840027983
f1121_47,3,,238,train,26414840,26414840,8317899450,1.4184415349991468
f1472_37,3,,387,train,26414840,26414840,13467075300,2.2825118280015886
f1763_25,4,,157,train,26414840,26414840,5545266300,0.9988847640015592
f0365_07,4,,285,train,26414840,26414840,9902261250,1.7150724870007252
f0610_38,4,,278,train,26414840,26414840,9902261250,1.6143639830006578
f1851_06,4,,136,train,26414840,26414840,4753085400,0.7961919749977824
f3841_01,4,,178,train,26414840,26414840,6337447200,1.0912403469992569
f3758_19,4,,176,train,26414840,26414840,5941356750,1.0800127670008806
f0166_12,4,,311,train,26414840,26414840,10694442150,1.8372956269995484
f3230_21,4,,183,train,26414840,26414840,6337447200,1.1088652720027312
f1121_47,4,,238,train,26414840,26414840,8317899450,1.7506854819985165
f1472_37,4,,387,train,26414840,26414840,13467075300,3.393127265997464
f1763_25,5,,157,train,26414840,26414840,5545266300,0.9345718579970708
f0365_07,5,,285,train,26414840,26414840,9902261250,1.719256974000018
f0610_38,5,,278,train,26414840,26414840,9902261250,1.6464957560019684
f1851_06,5,,136,train,26414840,26414840,4753085400,0.862928477999958
f3841_01,5,,178,train,26414840,26414840,6337447200,1.1268267750019731
f3758_19,5,,176,train,26414840,26414840,5941356750,1.0001329379992967
f0166_12,5,,311,train,26414840,26414840,10694442150,1.824933804997272
f3230_21,5,,183,train,26414840,26414840,6337447200,1.1210144280012173
f1121_47,5,,238,train,26414840,26414840,8317899450,1.4261680729978252
f1472_37,5,,387,train,26414840,26414840,13467075300,2.251983747999475
f1763_25,6,,157,train,26414840,26414840,5545266300,0.9888067490028334
f0365_07,6,,285,train,26414840,26414840,9902261250,1.6895005309997941
f0610_38,6,,278,train,26414840,26414840,9902261250,1.6110669169975154
f1851_06,6,,136,train,26414840,26414840,4753085400,0.873961858000257
f3841_01,6,,178,train,26414840,26414840,6337447200,0.9995680060019367
f3758_19,6,,176,train,26414840,26414840,5941356750,1.0600542570027756
f0166_12,6,,311,train,26414840,26414840,10694442150,1.797308196000813
f3230_21,6,,183,train,26414840,26414840,6337447200,1.1431772590003675
f1121_47,6,,238,train,26414840,26414840,8317899450,1.4380828530011058
f1472_37,6,,387,train,26414840,26414840,13467075300,2.359404284001357
f1763_25,7,,157,train,26414840,26414840,5545266300,1.7552549909996742
f0365_07,7,,285,train,26414840,26414840,9902261250,2.3926426180005365
f0610_38,7,,278,train,26414840,26414840,9902261250,1.6850816709993524
f1851_06,7,,136,train,26414840,26414840,4753085400,0.8147829940025986
f3841_01,7,,178,train,26414840,26414840,6337447200,1.0885115359997144
