client_id,round_number,hierarchy,num_samples,set,accuracy,loss
The_Complete_Works_of_William_Shakespeare_YOU,6,,94,train,0.1956521739130435,2.722898244857788
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,6,,83,test,1.0,0.16656793653964996
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,6,,369,test,0.1724137931034483,2.889819622039795
The_Complete_Works_of_William_Shakespeare_FRIEND,6,,152,test,0.25,2.0397415161132812
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,6,,2746,test,0.21722846441947566,3.090712547302246
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,6,,358,test,0.17857142857142858,2.5459163188934326
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,6,,86,test,0.0,3.6916418075561523
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,6,,463,test,0.1282051282051282,2.7778947353363037
The_Complete_Works_of_William_Shakespeare_YOU,6,,94,test,0.5,1.9398157596588135
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,8,,83,train,0.25609756097560976,3.2138752937316895
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,8,,369,train,0.23529411764705882,2.749859094619751
The_Complete_Works_of_William_Shakespeare_FRIEND,8,,152,train,0.2569444444444444,2.7827539443969727
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,8,,2746,train,0.2747075433642598,2.5315487384796143
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,8,,358,train,0.2878787878787879,2.596215009689331
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,8,,86,train,0.23529411764705882,2.777028799057007
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,8,,463,train,0.27358490566037735,2.60567569732666
The_Complete_Works_of_William_Shakespeare_YOU,8,,94,train,0.22826086956521738,2.6242661476135254
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,8,,83,test,1.0,0.11808022111654282
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,8,,369,test,0.20689655172413793,2.838944435119629
The_Complete_Works_of_William_Shakespeare_FRIEND,8,,152,test,0.5,1.7834968566894531
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,8,,2746,test,0.24344569288389514,3.017145872116089
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,8,,358,test,0.39285714285714285,2.366079092025757
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,8,,86,test,0.0,3.398104667663574
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,8,,463,test,0.23076923076923078,2.5755701065063477
The_Complete_Works_of_William_Shakespeare_YOU,8,,94,test,0.5,1.8308148384094238
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,10,,83,train,0.24390243902439024,3.175687551498413
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,10,,369,train,0.25,2.6815240383148193
The_Complete_Works_of_William_Shakespeare_FRIEND,10,,152,train,0.2986111111111111,2.6806633472442627
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,10,,2746,train,0.30697862041145624,2.392287015914917
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,10,,358,train,0.30303030303030304,2.503288984298706
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,10,,86,train,0.2823529411764706,2.704164981842041
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,10,,463,train,0.2759433962264151,2.5167081356048584
The_Complete_Works_of_William_Shakespeare_YOU,10,,94,train,0.25,2.546797275543213
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,10,,83,test,1.0,0.07177873700857162
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,10,,369,test,0.27586206896551724,2.868424415588379
The_Complete_Works_of_William_Shakespeare_FRIEND,10,,152,test,0.625,1.578537940979004
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,10,,2746,test,0.2808988764044944,2.9490396976470947
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,10,,358,test,0.42857142857142855,2.232288122177124
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,10,,86,test,0.0,3.265583038330078
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,10,,463,test,0.23076923076923078,2.464782238006592
The_Complete_Works_of_William_Shakespeare_YOU,10,,94,test,0.5,1.880829095840454
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,12,,83,train,0.23170731707317074,3.1852846145629883
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,12,,369,train,0.2529411764705882,2.646207809448242
The_Complete_Works_of_William_Shakespeare_FRIEND,12,,152,train,0.2847222222222222,2.6552608013153076
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,12,,2746,train,0.32029043969342474,2.297609806060791
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,12,,358,train,0.3,2.4622437953948975
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,12,,86,train,0.29411764705882354,2.628680944442749
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,12,,463,train,0.29009433962264153,2.4824063777923584
